text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT
"* הנאשם, שהורשע בעבירות של סחר בסם מסוכן, תיווך בסם מסוכן והחזקת סמים שלא לצריכה עצמית, נידון ל- 24 חודשי מאסר בפועל, שני מאסרים על תנאי וקנס בסך של 8,000 ₪ או 30 מאסר תחתם.",['הנאשם קיבל 24 חודשי מאסר בפועל'],['24 חודשי מאסר בפועל'],"['הנאשם קיבל קנס של 8,000 ₪ או 30 ימי מאסר תחתיו']",,,,,,,
"הנאשם הורשע על פי הודאתו, במסגרת הסדר טיעון, בעבירות של סחר בסם מסוכן, תיווך בסם מסוכן, החזקת סמים שלא לצריכה עצמית.",,,,,,,,,,
"לאור מכלול הנסיבות והשיקולים השונים יש לגזור על הנאשם 24 חודשי מאסר בפועל, שני מאסרים על תנאי וקנס בסך של 8,000 ₪ או 30 ימי מאסר תחתם.",['הנאשם קיבל 24 חודשי מאסר בפועל'],['24 חודשי מאסר בפועל'],"['הקנס שקיבל הנאשם הוא 8,000 ₪']",,,,,,,
"הנאשם הורשע על פי הודאתו, שניתנה במסגרת הסדר טיעון, בעבירות שיוחסו לו בכתב האישום המתוקן.",,,,,,,,,,
"לנוכח ההיכרות, ידע הסוכן כי לנאשם גישה לסמים מסוג קנאביס.",,,,,,['סוג הסמים הוא קנאביס'],,,,
במסגרת הקשר שבין הסוכן והנאשם בוצעו מספר עסקאות בהן נמכרו סמים בתמורה לעמלה כספית.,,,,,,,,['לא בעל הסמים'],,
"בכתב האישום צוין, כי במהלך חודש ספטמבר 2021 התקשר הנאשם אל הסוכן והציע לו למכור סמים מסוג גראס.",,,,,,['סוג הסמים הוא גראס'],,,,
הסוכן בתגובה סירב להצעה ואמר לנאשם כי הוא מתעסק בסם מסוג קוקאין.,,,,,,['סוג הסמים הוא קוקאין'],,,,
"במסגרתו, הציע הנאשם לסוכן לרכוש ממנו סמים מסוג גראס וחשיש ולאחר סירוב חוזר מצד הסוכן, הנאשם הציע לסוכן לרכוש ממנו סם מסוג קוקאין, אך בסוף המשא ומתן ביניהם לא הגיעו הצדדים להסכמה.",,,,,,"['סוג הסמים הוא גראס, חשיש, וקוקאין']",,,,
"בשלב מאוחר יותר, הנאשם והסוכן עמדו בקשר טלפוני במסגרתו אמר הנאשם לסוכן כי עסקה בכמות קטנה של קוקאין אינה רווחית עבורו, או אז הציע הסוכן לנאשם כמויות גדולות של קוקאין, על מנת שהנאשם יוכל להרוויח מהעסקה.",,,,,,['הסוג של הסמים הוא קוקאין'],,,,
