text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ
נגד,0.0011172907,3.1163163e-06,0.9999523,1.165655e-05,0.00013141269,0.20883903,0.27325144
"חוק העונשין, תשל""ז-1977: סע'  40ד, 499(א)(1)",0.0018145985,3.1623852e-06,0.9999702,8.155807e-06,0.00013403705,0.034561165,0.509202
"הנאשם הורשע בהתאם להודאתו בביצוע עבירות כדלקמן, קשירת קשר לעשות פשע (3 אישומים), לפי סעיף 499(א)(1) לחוק העונשין, תשל""ז–1977 (להלן: חוק העונשין); תיווך בסמים מסוכנים בצוותא חדא, (3 אישומים), לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג–1973 (להלן: הפקודה).",0.09821513,3.073188e-06,6.8378645e-06,1.0739224e-05,0.00016818737,0.9722254,0.46565762
כחלק מהסדר הטיעון הדיוני התבקש שירות המבחן לבחון את נסיבותיו האישיות של הנאשם כמו גם נסיבות ביצוע העבירות ולהעביר המלצותיו לבית המשפט.,0.0024775842,3.0263716e-06,0.9999701,9.07355e-06,0.00013170611,0.031342983,0.17205903
"אקדים את המאוחר ואומר כי בסופו של הליך אבחון וטיפול, המליץ שירות המבחן על ענישה שיקומית בדמות מאסר לריצוי בדרך של עבודות שירות.",0.0022563064,3.0126014e-06,0.9999701,9.121597e-06,0.0001267884,0.028833838,0.21211217
בין הצדדים לא התגבשה הסכמה לעניין העונש שראוי שיוטל על הנאשם וכל צד טען בעניין זה כראות עיניו וכמיטב שיקול דעתו המקצועי.,0.0018201051,3.1777188e-06,0.9999697,9.541223e-06,0.00015139348,0.033315167,0.28583714
כתב האישום הוא חלק מפרשייה רחבה במסגרתה הופעל סוכן משטרתי סמוי (להלן: הסוכן) אשר ביצע מול הנאשם ואחרים עסקאות סמים מסוג קוקאין.,0.0017672122,3.009035e-06,6.8408e-06,0.9999604,0.000144194,0.97693753,0.35432974
כתב האישום המתוקן כולל פרק מבוא ושלושה אישומים.,0.002412461,3.1908135e-06,0.9999689,9.52197e-06,0.00013531586,0.04599729,0.18489408
העובדות הצריכות לעניין יובאו בתמצית.,0.0030478737,3.099972e-06,0.99996793,9.895794e-06,0.00014495011,0.061440904,0.1082178
"לפי האישום הראשון, בין התאריכים 24.9.2019 ועד 10.11.2019 התקיימו בין הנאשם לסוכן שיחות בנוגע למכירת סמים מסוג קוקאין, כן הפגיש הנאשם את הסוכן עם האחר.",0.002768986,3.0413905e-06,6.8416743e-06,0.9999591,0.0001681104,0.9488437,0.40695906
"לאחר המפגש המשיך הנאשם בתיאום פרטי העסקה אל מול הסוכן, לרבות מקום ושעת ביצוע העסקה, עד שביום 10.11.2019 בשעות הערב יצאה העסקה לפועל.",0.0032952102,3.046578e-06,6.9210137e-06,9.223242e-06,0.00016227667,0.8773349,0.34974152
"אז מסר הנאשם לסוכן 2 שקיות סם מסוג קוקאין במשקל 9.6693 גרם נטו בתמורה שילם הסוכן לנאשם 4,000 ₪ עבור הסמים ו- 400 ₪ עבור התיווך.",0.0022345227,3.0711578e-06,6.789002e-06,0.99996126,0.9999782,0.6313723,0.6440091
באתו המעמד הזהיר הנאשם את הסוכן מקיומן של מצלמות אבטחה באזור.,0.0025474885,2.984178e-06,0.9999697,9.808501e-06,0.00015617465,0.12615348,0.40512896
"לפי האישום השני, ביום 17.12.2019 בשעות אחר הצהריים התקשר הסוכן לנאשם ולאחר חילופי הודעות ותיאום פרטי העסקה, נפגשו השניים בכפר קאסם, ובהמשך נסעו לתחנת דלק הממוקמת בכביש 5, שם מסר הנאשם לסוכן נייר טואלט שהכיל שקית ובתוכה סם מסוכן מסוג קוקאין במשקל 9.9431 גרם נטו.",0.0026426504,3.0525048e-06,6.885686e-06,0.99995995,0.9999752,0.91844195,0.612961
"בהמשך, הוריד הסוכן את הנאשם סמוך לבית החולים שניידר והשניים קבעו כי הסוכן יחזור למקום בעוד כ-40 דקות על מנת לשלם בעבור הסם.",0.002233408,3.0260944e-06,0.9999702,9.774838e-06,0.00015816814,0.07154963,0.5021566
"סמוך לשעה 22:50 נפגשו השניים בשנית, ובאותו המעמד, מסר הסוכן לנאשם 4,000 ₪ וכן 400 ₪ עבור התיווך.",0.0029961518,3.1004981e-06,6.8568797e-06,9.3137705e-06,0.0001615606,0.4495815,0.43649867
"לפי האישום השלישי, ביום 20.2.2020 בשעות הערב, ולאחר תיאום טלפוני, נפגשו הסוכן והנאשם ליד תחנת משטרת כפר קאסם.",0.0031675715,3.0555223e-06,0.9999701,8.906643e-06,0.00014918318,0.86989033,0.4257884
"השניים החלו בנסיעה, במהלכה תיאם הנאשם עם אחר שזהותו אינה ידועה למאשימה, עסקת סמים, ולאחר זמן קצר וסמוך לשעה 22:25 נפגשו הנאשם והסוכן בתחנת דלק בכפר קאסם.",0.0026896284,3.0064994e-06,0.9999685,1.0000161e-05,0.0001627561,0.95661604,0.41983473
"אז מסר הנאשם לסוכן 2 שקיות סם מסוכן מסוג קוקאין במשקל 19.9464 גרם נטו ובתמורה, שילם הסוכן לנאשם 8,000 ₪ וכן 700 ₪ נוספים עבור התיווך.",0.0022276603,3.0688886e-06,6.795738e-06,0.9999608,0.9999783,0.62363493,0.5751931
"שירות המבחן ערך שבעה תסקירים המגוללים את הרקע האישי והמשפחתי, היסטוריה עבריינית, התייחסותו של הנאשם לעבירות, ההליך הטיפולי בו השתלב, גורמי הסיכון וסיכויי השיקום.",0.0025637967,0.9999174,0.99996984,9.616798e-06,0.00014721866,0.031772155,0.20343262
להלן עיקרי התסקירים.,0.0025508492,3.1177842e-06,0.9999659,9.960584e-06,0.00013046901,0.07104926,0.17355864
תסקיר מבחן מיום 29.9.2021 (להלן: התסקיר הראשון),0.001499552,3.020691e-06,0.9999695,8.745645e-06,0.00012134745,0.032520067,0.3372364
"הנאשם בן 31, רווק ומתגורר עם משפחת מוצאו בכפר קאסם, תיאר כי אחיו מנהלים אורח חיים נורמטיבי, אביו מתקיים מקצבת נכות מהמוסד לביטוח לאומי ואמו אינה עובדת.",0.00352381,0.99999464,6.8366844e-06,1.0481493e-05,0.00015363329,0.043953005,0.38496277
"הנאשם מסר כי בנוסף לעבודתו בעבר בחווה לגידול כבשים בתפקיד סוכן מכירות, שותף בעסק משלוחים.",0.0024464282,0.99999464,6.8476597e-06,1.3388287e-05,0.00014598892,0.58745456,0.44705197
"לדבריו, נקלע לקשיים כלכליים לאור שהותו בתנאים מגבילים וללא אפשרות עבודה משך שנה וחצי.",0.002454967,0.99999464,6.843501e-06,1.0356181e-05,0.00014471618,0.04205568,0.4047139
"הנאשם מסר כי סיים 12 שנות לימוד ללא תעודת בגרות מלאה, היה חסר עניין בלימודים גבוהים והתמקצע בתחום הכדורגל עד לפציעתו בשנת 2014 ושהייתו בתקופה ארוכה של שיקום.",0.002031249,0.99999464,6.8495606e-06,1.0466769e-05,0.00015578527,0.029310884,0.35624775
לנאשם הרשעה אחת שהתיישנה משנת 2011 בגין עבירות אלימות.,0.0016720179,0.9999945,6.840252e-06,9.4932275e-06,0.0001297998,0.031774133,0.31549412
"לשירות המבחן מוכר הנאשם, מאבחונים קודמים בין השנים 2010 – 2011 וממסגרת הליך המעצר שבתיק זה.",0.0025050878,0.99999464,0.9999701,9.867325e-06,0.00015625612,0.043147758,0.24497864
"בזמנו, הפנה שירות המבחן את הנאשם למרכז לשלום המשפחה לצורך טיפול בהתנהגות אלימה מצדו אך הוא סירב לטיפול וניתק קשר עם שירות המבחן.",0.0024032474,0.99999464,0.9999695,9.46266e-06,0.00014512548,0.040822707,0.25569448
בית המשפט אומנם נתן לנאשם הזדמנות לממש את צו המבחן אך הנאשם לא התחיל טיפול בקבוצה טיפולית נוכח בקשתו להשתלב בטיפול פרטני ולא קבוצתי.,0.0022171524,0.9999945,6.9204725e-06,9.40892e-06,0.00015015763,0.033275135,0.22705299
באשר לעבירות מושא עניינינו.,0.0027437157,3.077071e-06,0.9999672,1.0510822e-05,0.00013917906,0.07958371,0.18819073
"הנאשם הודה בפני שירות המבחן בביצוע העבירות, קיבל אחריות על ביצוען וגילה הבנה להשלכות שבהתנהלותו וגם חרטה בגין מעורבותו בהן.",0.0021500315,3.0242652e-06,6.8839004e-06,9.642255e-06,0.00014050878,0.034137808,0.22303458
"לדבריו, פעל מתוך לחץ שאחר הפעיל עליו וצורך ברצייה חברתית ובהמשך גם התפתה לרווח כספי.",0.001968746,0.9999945,6.9028074e-06,1.1190763e-05,0.00016421801,0.43312675,0.5659893
שירות המבחן התרשם שכיום נרתע הנאשם מהתנהגותו והשלכותיה.,0.0022998683,3.027119e-06,0.99996877,9.366742e-06,0.00014047234,0.0462734,0.20161371
"באשר לשימוש בסמים, שלל זאת הנאשם לחלוטין והדגיש כי ניהל אורח חיים בריא וספורטיבי.",0.002190981,0.9999945,6.8821346e-06,9.182904e-06,0.00013911804,0.06172597,0.26302925
שירות המבחן ציין כי לא עלה בידו לערוך בדיקות לאיתור שרידי סם.,0.0022548223,0.9999943,6.9233643e-06,9.253477e-06,0.00013137836,0.04137583,0.23384534
