text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"על פי עובדות האישום הראשון, ביום 24.1.2024 בשעה 19:48 לערך, במסגרת פעילותו לקניית סמים מסוכנים מסוחרי סמים, התקשר הסוכן לטלפון הנייד של הנאשם, אך הוא לא ענה לשיחה.",,,,,,,,,,
"בהמשך לאמור, סיכמו השניים, תוך שימוש בהודעות זמניות באפליקציה (הודעות שנמחקות מיד לאחר קריאתן), על רכישה של סם מסוכן מסוג קטמין במשקל 5 גרם בתמורה ל- 1,100 ₪.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['הסוג של הסמים הוא קטמין'],['5 גרם - יחידות: גרם'],,,,,
"בסמוך לשעה 20:47 בחניית בניין 4005 באילת, פגש הנאשם את הסוכן ומכר לו סם מסוכן מסוג קטמין במשקל 4.7903 גרם נטו וקיבל מהסוכן בתמורה 1,100 ₪.",,,,['הסוג של הסמים הוא קטמין'],['4.7903 גרם - נטו'],,,,,
"כמה?"" והסוכן אמר ""מה-K"" כשהוא מתכוון לסם מסוכן מסוג קטמין, הנאשם השיב בחיוב.",,,,['הסוג של הסמים הוא קטמין (K)'],,,,,,
"עוד כמתואר באישום השני, בסמוך לשעה 20:29 בחניית בניין 4005 באילת, פגש הנאשם את הסוכן ומסר לו סם מסוכן מסוג קטמין במשקל 4.5882 גרם נטו.",,,,['הסוג של הסמים הוא קטמין'],['4.5882 גרם (יחידה: גרם)'],,,,,
סם מסוכן מסוג קוקאין במשקל 8.5067 גרם נטו.,,,,['הסוג של הסמים הוא קוקאין'],['הכמות של הסמים היא [8.5067 - גרם]'],,,,,
סם מסוכן מסוג מתילמטקתינון במשקל 14.2733 גרם נטו.,,,,['סוג הסמים הוא מתילמטקתינון'],['14.2733 גרם נטו - גרם'],,,,,
"בהליך גישור שהתקיים ביום 15.7.2024 הציגו הצדדים הסדר דיוני, במסגרתו הודה הנאשם בכתב האישום המתוקן, והורשע על פי הודאתו בעבירות שפורטו לעיל; הנאשם הופנה לקבלת תסקיר לעניין העונש.",,,,,,,,,,
"עוד תאר הנאשם כי המוטיבציה למכירת הסמים נבעה מתוך רצון לסייע לחברו, שהשתתף כמוהו, בפסטיבל ה""נובה"" ותאר כי הוא זקוק לסמים על מנת להתמודד עם קשייו.",,,,,,,,,,
לעניין החזקת הסמים המסוכנים תאר הנאשם כי נהג להשתמש בסמים בתדירות יום יומית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
