text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הודה כי בתאריך 20.7.18, בדימונה, הוא החזיק ברכבו 117 בולי סם מסוג TOC, שהוא נגזרת מבנית של סם האמפטמין, שלא לצריכתו העצמית, ללא היתר.",,,,"['הסוג הוא [TOC], כפי שמצוין בטקסט: ""הנאשם הודה כי בתאריך 20.7.18, בדימונה, הוא החזיק ברכבו 117 בולי סם מסוג TOC.""']",['[117 - יחידות]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"בהתאם לכך, הוא הורשע בעבירה של החזקת סם שלא לצריכה עצמית, בניגוד לסעיף 7(א) ו-(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",,,,,,,,,,,,,,
"הודאת הנאשם באה במסגרת הסדר טיעון, בגדרו המליצו הצדדים לבית המשפט להטיל על הנאשם 24 חודשי מאסר בפועל, כולל הפעלת המאסר על תנאי התלוי ועומד נגדו מת.פ. 10057-02-14; מאסר על תנאי; וקנס בסך 2,000 ₪.",,,,,,,,,,['כן'],,[],['24 חודשי מאסר בפועל'],[]
"התובעת ציינה כי ההסדר מתחשב בהודאת הנאשם, בנטילת האחריות מצדו, ובחסכון זמן השיפוט, וכי העונש המומלץ מתאים לעונשים שהוטלו על עבירות בנסיבות דומות, וביקשה לכבד את ההסדר.",,,,,,,,,['כן'],,,,,
"הסנגור הצטרף לדברי התובעת והוסיף, כי הנאשם בן 31, הוא בזוגיות וממתין להולדת ילדו הראשון.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
נגד הנאשם תלוי ועומד מאסר על תנאי בן 12 חודשים מת.פ. 10057-02-14 של בית משפט השלום באר שבע.,,,,,,,,,,,,[],['12 חודשים'],[]
המאסר על תנאי הוטל על עבירות סמים מסוג פשע.,,,,,,,,,,,,,,
"שקלתי את מעשה הנאשם בנסיבותיו, את סוג הסם וכמותו, את העובדה שיש לנאשם הרשעות קודמות בעבירות סמים, ואת נתוני הנאשם ונסיבותיו, ובאתי למסקנה שהעונש המומלץ בהסדר הטיעון מתאים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"24 חודשי מאסר בפועל, מיום מעצרו.",,,,,,,,,,,,"['הנאשם קיבל 24 חודשי מאסר בפועל, מיום מעצרו']",[],[]
אני מפעיל את המאסר על תנאי שהוטל על הנאשם בת.פ. 10057-02-14 של בית משפט השלום באר-שבע.,,,,,,,,,,,,,,
הנאשם ישא את שתי תקופות המאסר בחופף.,,,,,,,,,,,,,,
"12 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור עבירת סמים שהיא פשע.",,,,,,,,,,,,[],['12 חודשי מאסר על תנאי'],[]
קנס בסך 2000 ₪ או 7 ימי מאסר תחתיו.,,,,,,,,,,,,[],[],['2000 ₪']
