text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"באישום הראשון, תיווך הנאשם במכירת סם מסוג חשיש במשקל נטו של 44.26 גרם, בתמורה לסך של 900 ₪; באישום השני, תיווך הנאשם במכירת 21 כדורי סם מסוג M.D.M.A (אקסטזי), וכן כמות זעירה של סם מסוג חשיש, בתמורה לסך של 750 ₪; באישום השלישי, תיווך הנאשם במכירת סם מסוכן מסוג חשיש במשקל של 42.3 גרם, בתמורה לסך של 900 ₪; באישום הרביעי, תיווך הנאשם במכירת סם מסוג חשיש במשקל של 43.27 גרם, ובתמורה לסך של 1,100 ₪.",,,,"['הסוגים של הסמים הם: [קנביס], [MDMA]']",['[1 - גרם] [1 - גרם] [44.26 - גרם] [21 - יחידה] [0.00423 - גרם] [42.3 - גרם] [43.27 - גרם]'],"['בהתבסס על המידע שניתן, הנאשם מואשם בתיווך במכירת סמים מסוג חשיש ו-MDMA (אקסטזי) בכמויות שונות, ללא אזכור של שימוש במעבדה. לכן, הנאשם']",,,,,,,,
"בנסיבותיו של נאשם זה, צעיר ללא עבר פלילי, טענה המאשימה כי יש להטיל מאסר ברף הנמוך לגבי כל אחד ממתחמי הענישה, ובמצטבר זה לזה, זאת לצד פסילת רשיון ופסילת רשיון על תנאי.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מדובר במעידתו היחידה של הנאשם, אשר לא הסתבך בכל עבירה מאז ביצוע העבירות בהן הורשע.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הסנגור טען כי הנאשם הודח על ידי הסוכן לתווך בממכר הסם, הדחה שלא הגיעה לכדי פטור מאחריות פלילית, אולם צריכה להשפיע בעת קביעת העונש.",,,,,,,,,,,,,,
"הנאשם לומד סיעוד, והרשעה עלולה לפגוע באופן משמעותי ביותר ביכולתו לעסוק בתחום זה, נוכח האמור בתקנות בריאות העם (עוסקים בסיעוד בבתי חולים).",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם הביע חרטה על מעשיו, והבהיר כי רצונו כיום הוא להמשיך בלימודיו ולעסוק בסיעוד.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,['כן'],,,,,,
"במקרה הנדון, הנאשם תיווך לסחר בסם, על רקע של יחסי היכרות וידידות שהתפתחו במכון כושר בו התאמן עם הסוכן (סעיפים 9 ו-14 להכרעת הדין).",,,,,,,,,,,,,,
"עוד אציין כי הנאשם החל בלימודיו לאחר ביצוע העבירות, ויש לשער כי היה ער לקיומו של סיכון עתידי מסוים באפשרות העסקתו, זאת בשל העבירות שביצע.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מדובר במעידה בודדת של הנאשם, נעדר כל הרשעות נוספות, אשר התרחשה על פני תקופה קצרה, ולא הביאה בפועל לנזק, שכן הסם הועבר לידי סוכן משטרתי.",,,,,,,,,,,,,,
"הנאשם ביצע עבירות אלה על פני תקופה קצרה, כאשר בדרך כלל נהג ונוהג לנהל אורח חיים נורמטיבי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"לבסוף, לאחר הרשעתו, הביע הנאשם חרטה על מעשיו.",,,,,,,,['כן'],,,,,,
"7 חודשי מאסר אותם לא ירצה הנאשם, אלא אם יעבור תוך שלוש שנים מהיום עבירת סמים מסוג פשע.",,,,,,,,,,,,[],['7 חודשי מאסר על תנאי'],[]
"אני פוסל את הנאשם מלהחזיק ברשיון נהיגה למשך 12 חודשים , זאת על תנאי שלא יבצע עבירה לפי פקודת הסמים, במשך 3 שנים מהיום.",,,,,,,,,,,,[],[],[]
