text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"באותן נסיבות, הסליקה הנאשמת בבגדיה התחתונים, 14 טבליות המכילות סם מסוכן מסוג בופרנופין, אותן ביקשה להעביר לבן זוגה למטרת סחר בהם בבית הסוהר.",,,,['הסוג הוא [בופרנופין]'],['[14 - טבליות]'],['לא בעל הסמים'],,,,,,,,
"המאשימה הצהירה כי תגביל עצמה לעמדה עונשית של מאסר בן 6 חודשים, שיכול וירוצה בעבודות שירות, מאסר מותנה, קנס, התחייבות ופסילת רישיון נהיגה על תנאי.",,,,,,,,,,,[],[],[],
"שירות המבחן הגיש תסקיר בעניין הנאשמת ביום 22.8.16, ממנו עולה כי הנאשמת בת 32, רווקה המתגוררת עם הוריה ועובדת מזה 12 שנים בעסק המשפחתי לשטיפת כלי רכב.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן ציין כי מדובר בנאשמת לה הרשעה פלילית אחת בגין עבירה של החזקת סם לצריכה עצמית, משנת 2014, בגינה הושת עליה עונש של מאסר מותנה והתחייבות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"התרשמות שירות המבחן היא, כי הנאשמת מקבלת אחריות מלאה על מעשיה, והמעצר בו שהתה נוכח ביצוע העבירה, טלטלה וגרם לה תחושת בושה אל מול בני משפחתה.",,,,,,,,,['כן'],,,,,
"לדברי הנאשמת לשירות המבחן, הרקע לביצוע העבירה הינו קשר זוגי שניהלה עם צעיר שניהל אורח חיים שולי, אשר הפעיל לחץ עליה לבצעה, זאת עקב חששה כי יופסק הקשר בינם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הקשר עם בן זוגה, הופסק לפני כשנה ומחצה, והנאשמת שוללת קיום קשר עם גורמים עבריינים כיום.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"שירות המבחן התרשם, כי מדובר במי שמקיימת אורח חיים תקין ואינה בעלת דפוסי עבריינות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עם זאת, התרשם שירות המבחן כי דימויה העצמי הנמוך של הנאשמת, המגלה קושי רב בתפקוד עצמאי, מהווה גורם סיכון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשמת הביעה הסכמה לבחון צורך טיפולי, שלא במסגרת שירות המבחן, בעתיד.",,,,,,,,,,,,,,
