text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"על פי הנטען החזיק הנאשם באירוע זה בסם מסוכן מסוג חשיש במשקל כולל של 1,254 גרם ברוטו.",,,,['קנביס (קנאביס)'],['[1.254 - גרם]'],['[בעל הסמים]'],,,,,,,,
כמו כן נטען בכתב האישום כי ביום 19.11.12 החזיק הנאשם בביתו  סם מסוכן מסוג חשיש ללא היתר לשימוש עצמי ומשקל.,,,,"['הסוג הוא [קנביס], כפי שמצוין בטקסט: ""...סם מסוכן מסוג חשיש...""']",['[0.425 - גרם]'],,,,,,,,,
"המעשים הנ""ל נעשו בזמן שהנאשם היה פסול מלקבל רישיון נהיגה בשל עונש פסילה לשלוש שנים שהוטל עליו בנוכחותו ביום 26.1.12 בתיק פ""ל 5246-01-12.",,,,,,,,,,,,,,
"ב""כ המאשימה הדגיש כי הנאשם ביצע את העבירות בזמן פסילה וציין כי לנאשם עבר פלילי לא מבוטל.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כמו כן ביקש להפעיל שני מאסרים על תנאי, של שנה ושל חצי שנה, שהוטלו על הנאשם בפ""ל 5246-01-12.",,,,,,,,,,,,,,
לבסוף ציין את נסיבותיו האישיות של הנאשם וביקש להטיל עליו עונש מתון.,,,,,,,,,,,,,,
במעשיו פגע הנאשם בערך החברתי בדבר הרחקת נגע הסמים מהחברה.,,,,,,,,,,,,,,
הנאשם עלה על קטנוע כשהוא פסול מלהחזיק רשיון נהיגה ואינו מבוטח.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בזמן נסיעתו החזיק כמות גדולה של סם מסוכן אשר יכולה להספיק לשימושים רבים מאוד וכמובן למכירה ואספקה לאחרים.,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"מאסר על תנאי של שנה למשך שלוש שנים שלא יעבור על עבירות נהיגה ללא רשיון נהיגה, נהיגה בשכרות, נהיגה תחת השפעת משקה משכר, סירוב, נהיגה בפזיזות, הכשלת שוטר וכל עבירה לפי פקודת הסמים למעט עבירה לשם שימוש עצמי.",,,,,,,,,,,,[],['הנאשם קיבל מאסר על תנאי של שנה למשך שלוש שנים'],[]
מאסר על תנאי של חצי שנה למשך שלוש שנים שלא יעבור עבירות של החזקת סם לשימוש עצמי ונהיגה ללא ביטוח.,,,,,,,,,,,,[],['הנאשם קיבל מאסר על תנאי של חצי שנה למשך שלוש שנים'],[]
"עברו הפלילי של הנאשם כולל עבירות סמים, רכוש ואלימות, בהן עבירת הריגה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"בנוסף, לא מצאתי דבר מיוחד בנסיבותיו האישיות של הנאשם שיוכלו להטות את הכף לזכותו ולו במעט.",,,,,,,,,,,,,,
"30 חודשים  מאסר בפועל, שיחלו מיום מעצרו.",,,,,,,,,,,,"['הנאשם קיבל 30 חודשי מאסר בפועל, ללא הסברים נוספים']",[],[]
"כמו כן אני מורה על הפעלתו של המאסר המותנה בן 12 חודשים שהוטל על הנאשם בפ""ל          5246-01-12, כשמחציתו תרוצה בחופף לעונש המאסר בפועל ומחציתו במצטבר.",,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[]
סך הכל ירצה לכן הנאשם 36 חודשי מאסר בפועל החל מיום מאסרו.,,,,,,,,,,,,['36 חודשי מאסר בפועל'],[],[]
"18 חודשים מאסר על תנאי, למשך שלוש שנים, שלא יעבור עבירה של נהיגה בפסילה, או עבירה של החזקת סמים שלא לשימוש עצמי.",,,,,,,,,,,,[],['18 חודשים מאסר על תנאי'],[]
5129371 5 שנים פסילת רשיון נהיגה החל מהיום בחופף לכל פסילה אחרת.,,,,,,,,,,,,[],[],[]
