text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CONFESSION_LVL2
"הנאשם הורשע על פי הודאתו בעובדות כתב אישום מתוקן ובמסגרת הסדר טיעון, בעבירה של החזקת נשק.",,,,,['כן'],,,,,,,,,,,,,,,,
הצדדים הציגו הסדר טיעון במסגרתו עתרה התביעה לעונש מאסר בפועל של 10 חודשים ומאסר על תנאי והסנגור טען באופן חופשי לעונש.,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 10 חודשי מאסר בפועל אין מידע על מאסר על תנאי בטקסט'],[],
"על פי עובדות כתב האישום המתוקן, בתאריך 13.6.11 בשעה 21:00 לערך, החזיק הנאשם בלוד בנשק מאולתר מסוג תת מקלע, בלא רשות כדין להחזקתו.",,,,,,['תת מקלע מאולתר'],,,,,,,,,[],,,,,,
"לנאשם הרשעה משנת 2004, בעבירות של היזק לרכוש במזיד וירי מנשק חם באזור מגורים (עבירה משנת 2003).",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם זימן 3 עדי אופי.,,,,,,,,,,,,,,,,,,,,,
אשת הנאשם ושני עדים הקשורים לעבודתו של הנאשם.,,,,,,,,,,,,,,,,,,,,,
"מר אבי עובדיה (תת אלוף במילואים), מנהל מוסכים ומנהל העבודה של הנאשם.",,,,,,,,,,,,,,,,,,,,,
"הוא העיד כי הוא מכיר את הנאשם מזה כשנתיים, הנאשם משמש בתפקידו כסגן מנהל מוסך.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הוא ציין כי הנאשם הינו עובד חרוץ, ציין כי נוח לבריות, איש צוות מעולה ונותן מענה לכל מי שפונה, בכל שעה משעות היממה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הוא דיבר בשבחו של הנאשם כאדם וציין מסירותו לעבודה.,,,,,,,,,,,,,,,,,,,,,
