text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק ונשיאת תחמושת בכך שבמשך כשנה וחצי עובר ליום 1.6.08 החזיק בביתו אקדח ומחסנית.,,,,,,['אקדח'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
כמו כן החזיק ברכבו 34 כדורי אקדח.,,,,,,['אקדח'],,,,['ברכב'],,,[],,,,,,,,
"מתסקיר שירות המבחן מיום 23.3.14 עולה כי הנאשם בן 50, גרוש ואב לשלושה ילדים בוגרים, המתגורר ביחידה צמודה לבית הוריו במושב תרום ועובד בחברה לפיתוח דגי נוי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם סובל ממחלה קשה שהתגלתה בשנת 2002, אך כיום הוא אינו מטפל במחלתו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בתסקיר מפורטות נסיבות חייו של הנאשם, הוא גדל במשפחה נורמטיבית אשר סבלה ממצוקה כלכלית משמעותית, והנאשם פיתח מגיל צעיר שאיפות להצלחה כלכלית, כפיצוי על מחסור זה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם למד עד גיל 8, נשר ממסגרות לימודיות על מנת לסייע בפרנסת הוריו, בגיל 12 בהתערבות רשויות הרווחה נשלח שלא מרצונו ללמוד בפנימייה מחוץ לביתו, שם שהה במשך שנה וחצי עד אשר נפלט אף ממסגרת זו והמשיך לעבוד עד לגיוסו לצה""ל.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם שירת שירות צבאי מלא ולאחר שחרורו החל בניסיונות עצמאיים בתחום העסקי.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בגיל 22 נישא לראשונה, במסגרת נישואיו אלה נולד בנו הבכור כיום בן 26.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לאחר מספר שנים התגרש, בגיל 27 עזב את הארץ ועבר להתגורר בארה""ב, שם הקים חברה וששיגשגה כלכלית.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם שהה בארה""ב כ-15 שנה, נישא בשנית ונולדו לו שני ילדים ובהמשך אף התגרש מאשתו השניה על רקע תקופת המשבר אשר עבר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
