text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE
"דינה של טביעת אצבע על חלקו הפנימי של סרט דביק (איזולירבנד), אשר היה כרוך סביב מחסנית המחוברת לנשק, כראייה נסיבתית אשר קושרת את בעל טביעת האצבע להחזקת הנשק.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"על-פי המתואר בעובדות כתב האישום,  ביום 5.7.12 החזיק הנאשם, מוסלק בקרבת ביתו שבכפר ברא, ברובה מאולתר דמוי קרל גוסטב ובמחסנית תואמת.",,,,,,['תת מקלע מאולתר'],,,,"['מוסלק - מוסתר', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,
הנאשם כפר בעובדות כתב האישום ובכך שהחזיק בנשק ובתחמושת.,,,,['לא'],,,,,,,,,,,,,,
"ב""כ הנאשם טענה כי הנשק לא שלו והוא לא החזיק בו.",,,,,,,,,,,,,[],,[],,,
"הנשק נמצא בשטח ציבורי של מטע זיתים בקרבת ביתו, אך לא בתוך ביתו, וקיימת בעיה בשרשרת המוצג (פרוטוקול מיום 26.12.12).",,,,,,,,,,,,,,[],,,,
"בשלב הסיכומים, ההגנה לא חלקה עוד על כך שטביעת האצבע של הנאשם נמצאה על האיזולירבנד סביב המחסנית של הנשק, ולא חלקה על קיומה של שרשרת מוצג תקינה.",,,,,,,,,,,,,,,,,,
"לטענת ההגנה, הנאשם עבד כטכנאי מזגנים ובמהלך עבודתו נוהג להשתמש בסרט דביק, לפיכך יכול ועשה שימוש תמים קודם בסרט הדביק, וסרט זה הגיע לידיו של אחר, אשר ביצע את העבירות המיוחסות לנאשם.",,,,,,,,,,,,,[],,,,,
"על-פי דוח הפעולה, ביצע חיפוש אצל הנאשם על-פי צו חיפוש, ובנוכחות שני עדים.",,,,,,,,,,,,,,,,,,
"לאחר מכן, הבחין הרס""ל אחרק בסולם השעון על הקיר, עלה עליו, והבחין בשטח מסולע אשר בו מספר עצי זיתים ומתוחם בחומה בגובה כ- 2 מטרים משני צדדים ומצד מתחם ביתו של הנאשם.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],,,,
"במהלך החיפוש במקום, הרס""ר גל פדלון (להלן: ""הרס""ר פדלון"") מסר כי הוא מזהה דבר מה חשוד סמוך לחומה, הרס""ל אחרק ניגש למקום, הבחין בשקית העוטפת דבר מה מוארך.",,,,,,,,,,"['מוסלק - מוסתר', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"הרס""ר פדלון פתח את השקית ותפס נשק מאולתר דמוי קרל גוסטב, עטוף בבד.",,,,,,,,,,['מוסלק - מוסתר'],,,,['נשק עם מחסנית בהכנס'],,,,
"הרס""ל אחרק העיד בבית-המשפט (עמ' 6).",,,,,,,,,,,,,,,,,,
בחקירתו הנגדית מסר כי בבית היו אנשים נוספים.,,,,,,,,,,,,,,,,,,
"הרס""ר פדלון תפס את הנשק שהיה במטע הזיתים הסמוך לבית, מחוץ לגדר.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],[],,,
"כן הוגש מזכר שערך השוטר משה ציפורי (ת/4), וכן העיד אודות שרשרת המוצג.",,,,,,,,,,,,,,,,,,
"על-פי דוח החיפוש (ת/5), במקום נתפס הנשק וכן כדור אחד, 9 מ""מ.",,,,,,['אקדח'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"על-פי דוח הפעולה (ת/6), הוא השתתף בביצוע צו חיפוש אצל הנאשם.",,,,,,,,,,,,,,,,,,
"הגיע למקום, ביצעו חיפוש בבית, לאחר מכן בחצר, הוא הגיע לחצר אחורית, וזיהה סולם על החומה, עלה על הסולם, כשכפפות על ידיו.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"כחמישה מטרים מהגדר, זיהה ערימת פסולה, ובכוך בצד הערימה, ראה שקית לבנה.",,,,,,,,,,,,,,,,,,
"הוא הוציא את השקית, וביקש מהרס""ל מאחרק להביא מצלמה כדי לתעד את הוצאת החפץ מהשקית.",,,,,,,,,,[],,,,[],[],,,
בשקית היה בד ובתוכו רובה מאולתר דמוי קרל גוסטב עם מחסנית בבית המחסנית.,,,,,,['תת-מקלע מאולתר (מכונה גם קרל גוסטב)'],,,,['מוסלק - מוסתר'],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"בקרבת מקום נתפס כדור 9 מ""מ.",,,,,,,,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"הוגש דוח מעצר הנאשם, אשר הכחיש שהנשק שייך לו (ת/8).",,,,,,,,,,,,,,,,,,
"הרס""ר פדלון העיד בבית-המשפט כי הנשק נמצא בחלק האחורי של הבית, כאשר קיימת חומה שעליה הושען סולם, ומצדה השני של החומה נמצא מטע זיתים.",,,,,,,,,,[],,,,[],[],,,
"שם ראה ערימת זבל, ולידה אסבסט מושען על הקיר, ושם שקיות של צואה, אשר לסברתו נועדו לטשטש את הריח מפני כלבי המשטרה.",,,,,,,,,,[],,,,[],,,,
"הוא הסיט את האסבסט, הרים את השקית ובתוכה מצא ציפה של כרית, בתוכה הנשק עם המחסנית (עמ' 10).",,,,,,,,,,"['בבית', 'מוסלק - מוסתר', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
בחקירתו הנגדית הסביר כי הגיעו לחצר האחורית ושם ראו סולם.,,,,,,,,,,,,,,,,,,
"בעקבות זאת, עלו על הסולם ועברו לשטח שמעבר לחומה, שהינו שטח ריק של עשביה, ולאחריו מטע זיתים (עמ' 11, ש' 1-3).",,,,,,,,,,,,,,,,,,
הוא לבש כפפות בעת ביצוע החיפוש כדי לשמור טביעות אצבעות.,,,,,,,,,,,,,,,,,,
"בחקירתו החוזרת, כאשר הוצג לו צילום הנשק, הסביר כי מדובר בנשק מסוג קרל גוסטב מאולתר, עם איזולירבנד על המחסנית.",,,,,,['תת מקלע מאולתר'],,,,,,,[],['נשק עם מחסנית בהכנס'],,,,
"כאשר הוא מצא את הנשק, האיזולירבנד היה על המחסנית.",,,,,,,,,,,,,[],['נשק עם מחסנית בהכנס'],[],,,
"הוא לא ניסה לבדוק את האיזולירבנד, שהרי זה מתפקידו של המז""פ (עמ' 12-13).",,,,,,,,,,,,,,,,,,
