text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE
"המדינה ייחסה לנאשם זריקת רימון הלם על גג מבנה, במהלך מרדף אחריו.",,,,,,['רימון הלם/גז'],,,,,,,,,[],,,
"בסיכומיו טען, שהרימון אשר נתפס הושמד ולכן, נמנע ממנו להוכיח כי אין מדובר ברימון הלם, אלא ברימון תרגול שנעדר רכיבים שהופכים אותו לנשק.",,,,,,['רימון הלם/גז'],,,,,,,,,,,,
"המאשימה הוכיחה מעל לכל ספק סביר כי הנאשם, במהלך מנוסתו מן השוטרים, זרק את כובע הגרב ובתוכו רימון הלם, אשר אחז בידו, אל עבר גג המבנה.",,,,,,['רימון הלם/גז'],,,,[],,,"['ניסיון לירי', 'זריקת רימון']",['נשק עם מחסנית בהכנס'],[],,,
"עדויות השוטרים היו מהימנות ועקביות, בניגוד לגרסת הנאשם.",,,,,,,,,,,,,,,,,,
"לכך מתווספים כחיזוק ראיות נסיבתיות  על פיהן, הוכח כי הרימון נמצא על הגג במקום הנמצא במסלול המנוסה של הנאשם וכך גם השיח בו נמצאו כפפות.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"כן הוכח כי הרימון אשר נתפס הינו רימון הלם אשר אין חולק כי עונה על הגדרת ""נשק"" במובן סעיף 144 לחוק העונשין.",,,,,,['רימון הלם/גז'],,,,,,,,,,,,
"כתב האישום מיחס לנאשם כי ביום 30/7/04 בשעה 03:10 או בסמוך לכך באשקלון, נשא עימו נשק מסוג רימון הלם 20 סדרה 97-1 סימן 2 וזאת בלא רשות על דין לנשיאתו.",,,,,,['רימון הלם/גז'],,,,,,,,['נשק עם מחסנית בהכנס'],[],,,
"עוד טען כי גם בהנחה שמדובר בחפץ העונה על הגדרת ""נשק"", על פי חוק העונשין, לא החזיק הוא ברשותו בחפץ.",,,,,,,,,,,,,,,,,,
"אין מחלוקת כי ביום 30/7/04, בסמוך לשעה 03:00, בלב המרכז המסחרי בשכונת ""אפרידר"" בעיר אשקלון, התנהל מרדף של שוטרי ימ""ר דרום אחר הנאשם כשבסופו נתפס הנאשם על ידי השוטרים ונעצר.",,,,,,,,,,,,,,,,,,
"המדינה ביקשה להוכיח, באמצעות עדיה, כי בעקבות מידע מודיעיני שהתקבל לידיה, לפיו אמור הנאשם להשליך רימון אל עבר בית קפה ""שמש"" במרכז אפרידר, הוצב מארב במקום של שוטרי ימ""ר דרום וכי כאשר הגיע הנאשם למקום והבחין בשוטרים, אשר היו מזוהים כשוטרים, באמצעות כובעי בילוש, החל הוא במנוסה מן המקום כשבדרך השליך הוא דבר מה אל עבר גג מבנה שבמקום, אשר התברר בדיעבד כי הינו רימון הלם, אשר היה בתוך כובע גרב שחור, ובהמשך השליך זוג ככפות לבנות אל עבר השיחים שהיו במקום.",,,,,,['רימון הלם/גז'],,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"הנאשם, כאמור, לא הכחיש שהיה במקום בזמן האירוע וכן לא הכחיש את בריחתו מן השוטרים.",,,,,,,,,,,,,,,,,,
