,sentence,true_label,predicted_label,probabilities
1586,"(ב)	מאסר על תנאי למשך 3 חודשים, אותו לא יישא הנאשם אלא אם כן יעבור, תוך שלוש שנים מהיום, עבירה מהעבירות בהן הורשע.",0,1,0.9996934
1746,"6 חודשי מאסר על-תנאי, שלא יעבור הנאשם בתוך 3 שנים משחרורו כל עבירת אלימות וסמים מסוג פשע;",0,1,0.9996922
1357,"(א)	מאסר על תנאי למשך 6 חודשים, אותו לא יישא הנאשם אלא אם כן יעבור, תוך שלוש שנים מהיום, עבירה לפי הוראות פקודת הסמים המסוכנים מסוג פשע.",0,1,0.9996917
2992,"אשר על כן, יש להטיל על הנאשם 36 חודשי מאסר לריצוי בפועל, שני מאסרים על תנאי, קנס כספי בסך 5,000 ₪, פסילה מלהחזיק או לקבל רישיון נהיגה וכן פסילה על תנאי.",0,1,0.9996648
1747,"3 חודשי מאסר על-תנאי, שלא יעבור הנאשם בתוך 3 שנים משחרורו כל עבירת אלימות מסוג עוון לרבות איומים ולרבות היזק לרכוש;",0,1,0.9996593
1528,"הנאשם ישלם קנס בסך 5,000 ₪ או 25 ימי מאסר תמורתו.",0,1,0.99965215
2064,"קנס בסך 5,000 ₪ או 20 ימי מאסר תמורתו.",0,1,0.99965024
2971,"6 חודשי מאסר על תנאי, למשך 3 שנים מהיום, שלא יעבור עבירת פשע לפי פקודת הסמים.",0,1,0.99964964
1692,"הנאשם ישלם קנס בסך 5,000 ₪, או 60 ימי מאסר תמורתו.",0,1,0.99964917
1587,"(ג)	קנס בסך של 1,000 ₪, או 5 ימי מאסר תמורתו.",0,1,0.99964094
1446,אני פוסל את הנאשם מלקבל או מלהחזיק רישיון נהיגה לתקופה של 10 חודשים על תנאי למשך 3 שנים והתנאי הוא שהנאשם לא יעבור בפרק זמן זה על עבירה לפי פקודת הסמים המסוכנים ויורשע בה או על עבירה של נהיגה בזמן פסילה.,0,1,0.99964046
2063,3 חודשי מאסר אשר לא ירוצו אלא אם הנאשם יעבור על כל עבירה לפי פקודת הסמים בתוך 3 שנים מהיום.,0,1,0.99963915
2893,"מאסר מותנה למשך 7 חודשים, והתנאי הוא כי הנאשם לא יעבור עבירת סמים מסוג פשע למשך 3 שנים, מיום שחרורו ממאסר.",0,1,0.9996375
1530,"פסילה על תנאי למשך 6 חודשים, והתנאי הוא כי הנאשם לא יעבור עבירת סמים מסוג פשע, במשך 3 שנים מהיום.",0,1,0.99963677
2897,"הנאשם ישלם קנס בסך 7,500 ₪, או 50 ימי מאסר תמורתו.",0,1,0.99963605
1358,"(ב)	קנס בסך של 3,500 ₪, או 10 ימי מאסר תמורתו.",0,1,0.99963415
