,sentence,true_label,predicted_label,probabilities
785,מעיון בפסק הדין בעניין ביטון עולה כי הנאשם שם סבל ממצב רפואי מורכב ביותר; כתוצאה ממחלת הסכרת נכרתה כף רגלו של הנאשם חלקית והוא עתיד היה לעבור אירוע כירורגי נוסף של כריתה בכף רגלו.,0,1,0.9999858
326,היא הופנתה למרכז המסייע בתחום הלימודי וכן תופנה להכוונה בתחום ההתנהלות הכלכלית.,0,1,0.9999857
254,בת זוגו של הנאשם סיפרה שמכירה את הנאשם מעל 20 שנים.,0,1,0.9999856
775,מכל מקום מדובר באדם צעיר מאד כבן 18 ואף זאת יש לזקוף לחובת הנאשם.,0,1,0.99998534
776,מכר של הנאשם מלימודי תורה - מכיר את הנאשם כ- 20 שנה ומודע לסיפור חייו.,0,1,0.99998534
157,ביום 11.4.2024 סיים את הטיפול במקום והותר לו לעזוב ולשכור דירה.,0,1,0.9999852
663,לדבריו עושה שימוש בסמים ובתרופות ללא מרשם במצבי משבר ולחץ.,0,1,0.9999852
166,בין שני הנאשמים הכרות מוקדמת ובמסגרת התקופה הרלוונטית לכתב האישום נהג הנאשם 2 לשהות בתחנת הסמים ולקחת חלק בעסקאות הסמים.,0,1,0.9999851
432,"הנאשם עתר לקבל הזדמנות ולהתחשב בדרך שעבר, בצומת הדרכים שנמצא בו ובילדיו שקשורים אליו.",0,1,0.999985
930,"קנס בסך 15,000 ₪ או 120 ימי מאסר תמורתו.",0,1,0.999985
723,"לקראת הגשת התסקיר לעונש ניסה שירות מבחן ליצור קשר עם הנאשם, אך ללא הצלחה.",0,1,0.99998486
660,"לדבריה, הנאשם אוהב אותה וצמוד אליה.",0,1,0.99998474
431,הנאשם עתיד להיות משולב בקבוצה זו בקרוב.,0,1,0.99998474
971,"שקלתי כי הנאשם בגיר, מודע לטיב מעשיו, לחומרה הרבה הטמונה בהם וכי העבירות בוצעו כדי להפיק רווח כלכלי.",0,1,0.9999846
602,כן הוסיף את הרקע בו גדל הנאשם והכוחות שנדרשו לו לבנות חיים נורמטיביים.,0,1,0.99998426
243,"בפתח פרק זה יצוין, כי עוד טרם הרשעתו, הופנה הנאשם לבחינת התאמתו להליך בבית המשפט הקהילתי.",0,1,0.99998426
498,"השתלבות הנאשם בשיקום במסגרת המאסר האחרון יכלה היתה להוות נקודת מפנה של ממש בחייו, לו היה משלים את הטיפול כפי שהוצע לו.",0,1,0.99998426
725,"לשיטת המאשימה, אין לראות בכניסת הנאשם להליך הקהילתי נסיבה מקלה, נוכח הקשיים המשמעותיים שעלו בקשר עם שירות מבחן, המוטיבציה הנמוכה שגילה הנאשם לשיקום, והרושם כי מסוכנותו לא פחתה.",0,1,0.99998415
590,כמו כן לא הוצגה ראיה כלשהיא ולא הוגש כל מסמך מאת הסנגור שיהיה בו להוכיח שהרשעה תפגע בעיסוקו הנוכחי של הנאשם.,0,1,0.99998367
155,ביולי 2022 נקלט הנאשם בבית המשפט הקהילתי.,0,1,0.99998367
933,"קנס בסך 5,000 ₪, או חודש מאסר תמורתו.",0,1,0.99998343
826,"נע/4 - תלושי שכר של הנאשם, מחודשים 8-10/21.",0,1,0.9999833
546,חסר מענה בדבר דרכי התמודדות עם קשיים כלכליים שעלולים להיות בעתיד.,0,1,0.9999833
662,לדבריו המתלונן היה חייב לו סכום כסף גדול ודבר זה עמד בבסיס האירוע האלים.,0,1,0.9999832
448,"הנאשם, שבשלב זה כבר ייצג את עצמו, הלין מאוד על כך שהתיק העיקרי לא צורף במסגרת הרשעתו הקודמת האחרונה, וביקש להתחשב בכך.",0,1,0.99998295
931,"קנס בסך 2,000 ₪, או 8 ימי מאסר תמורתו אם לא ישולם.",0,1,0.9999826
961,"שירות המבחן התרשם שהנאשם מסתייע ונענה להליך הטיפולי, מתבונן על מצבי הסיכון, רוכש כלים להתמודדות יעילה במצבים אלה ובמצב זה פוחת הסיכון להישנות העבירות.",0,1,0.9999826
745,מדברי הסנגור עולה כי הנאשם אינו עומד בקשר גם איתו.,0,1,0.9999826
