,sentence,true_label,predicted_label,probabilities
498,"השתלבות הנאשם בשיקום במסגרת המאסר האחרון יכלה היתה להוות נקודת מפנה של ממש בחייו, לו היה משלים את הטיפול כפי שהוצע לו.",0,1,1.0
602,כן הוסיף את הרקע בו גדל הנאשם והכוחות שנדרשו לו לבנות חיים נורמטיביים.,0,1,1.0
859,עוד יש להתחשב בנזקים שיגרמו לנאשם ולמשפחתו כתוצאה מהעונש שיוטל עליו.,0,1,1.0
546,חסר מענה בדבר דרכי התמודדות עם קשיים כלכליים שעלולים להיות בעתיד.,0,1,1.0
527,"זאת, בין היתר, נוכח הכחשת העבירות, שלילת קיומם של קשרים שוליים ושלילת נזקקות להמשך טיפול בתחום ההתמכרויות.",0,1,1.0
519,"ואולם, נוכח חומרת העבירות שביצע, אין מקום להציע התערבות טיפולית במסגרת השירות.",0,1,1.0
511,"התכנון שקדם לביצוע העבירות: הנאשם החזיק תחנת סמים במועדים הרלוונטיים לכתב האישום, כשהוא מתגורר במקום יחד עם משפחתו, וברור כי קדם תכנון לביצוע העבירות.",0,1,1.0
864,"עוד נטען, כי מדובר בתחנת סמים שהופעלה על ידי הנאשם באור יום, כשתושבי העיר עוברים ושבים במקום.",0,1,1.0
497,"השניים קשרו קשר להקמת מעבדה לגידול סם מסוג קנבוס, ביצעו פעולות רבות לצורך הקמת המעבדה, רכשו ציוד רב לתפעול המעבדה, וגידלו במשך מספר חודשים שתילים במשקל כולל של 131 ק""ג.",0,1,1.0
869,"עוד ציין כי בביתו של הנאשם לא נתפסו כספים או סמים, כך, שלא מדובר במי שמצוי בשלב גבוה בשרשרת הסמים.",0,1,1.0
480,הערכת המטפל היא כי עדיין על המבקש לרכוש כלים על מנת לסייע לו להתמודד בצורה אדפטיבית עם רגשות קשים ושליליים ועם תחושת מצוקה ופגיעות שעמדו ברקע לביצוע העבירות.,0,1,1.0
475,העזרה של הנאשם היתה מאד חשובה לנו.,0,1,1.0
909,"פסילה מקבל ומהחזיק רישיון נהיגה לרכב מנועי, בת שנה, על תנאי.",0,1,1.0
448,"הנאשם, שבשלב זה כבר ייצג את עצמו, הלין מאוד על כך שהתיק העיקרי לא צורף במסגרת הרשעתו הקודמת האחרונה, וביקש להתחשב בכך.",0,1,1.0
432,"הנאשם עתר לקבל הזדמנות ולהתחשב בדרך שעבר, בצומת הדרכים שנמצא בו ובילדיו שקשורים אליו.",0,1,1.0
431,הנאשם עתיד להיות משולב בקבוצה זו בקרוב.,0,1,1.0
393,הנאשם התקשה להתייחס לקיומם של קשרים שוליים העומדים ברקע להסתבכותו בביצוע העבירות והתקשה בבחינת הקשר בין ביצוען לבין דפוסי השימוש שלו בסמים.,0,1,1.0
590,כמו כן לא הוצגה ראיה כלשהיא ולא הוגש כל מסמך מאת הסנגור שיהיה בו להוכיח שהרשעה תפגע בעיסוקו הנוכחי של הנאשם.,0,1,1.0
858,"עוד יקח בית המשפט בחשבון, את נסיבותיו האישיות של הנאשם, כפי שפורטו מפי ההגנה.",0,1,1.0
926,"צרכני קוקאין בשלבי גמילה מעידים על כך שההתמכרות לסם השפיעה על התנהגותם במשך מספר שבועות, ואפילו חודשים, לאחר הפסקת השימוש בו.",0,1,1.0
617,כתב האישום הוגש לאחר כשנתיים ובינתיים לא נפתחו תיקים חדשים כנגד הנאשם.,0,1,1.0
776,מכר של הנאשם מלימודי תורה - מכיר את הנאשם כ- 20 שנה ומודע לסיפור חייו.,0,1,1.0
775,מכל מקום מדובר באדם צעיר מאד כבן 18 ואף זאת יש לזקוף לחובת הנאשם.,0,1,1.0
737,"מאסר בפועל בן 6 חודשים,  אשר ירוצה בעבודות שירות באצטדיון סמי עופר בחיפה.",0,1,1.0
734,"מאידך גיסא, ב""כ הנאשם ביקשה להיעתר להמלצת שירות המבחן נוכח התהליך השיקומי שעבר הנאשם.",0,1,1.0
732,"מאחר שלא נפתחו כנגד הנאשם תיקים חדשים ושירות המבחן התרשם שהנאשם ייתרם מהליך טיפולי, הומלץ על הטלת צו מבחן למשך 12 חודשים במסגרתו ימשיך בהליך הטיפולי וכן צו של""צ בהיקף של 300 שעות.",0,1,1.0
725,"לשיטת המאשימה, אין לראות בכניסת הנאשם להליך הקהילתי נסיבה מקלה, נוכח הקשיים המשמעותיים שעלו בקשר עם שירות מבחן, המוטיבציה הנמוכה שגילה הנאשם לשיקום, והרושם כי מסוכנותו לא פחתה.",0,1,1.0
