,sentence,true_label,predicted_label,probabilities
715,"לצד הקולה יש להביא בחשבון את שיתוף הפעולה של הנאשם לאורך ההליך, את הודאתו, את לקיחת האחריות על מעשיו ואת החיסכון בזמן השיפוטי.",0,1,0.99322563
407,"הנאשם לוקח אחריות מלאה על ביצוע העבירה, מורתע מתקופת מעצרו ומההליך המשפטי ומביע נכונות לשאת בתוצאות מעשיו.",0,1,0.9931645
322,"החלטתי להעניק משקל משמעותי לקולא, במיקום עונשו של הנאשם להודאתו במיוחס לו, לקיחת האחריות על מעשיו, והחרטה הכנה שהביע בדברו האחרון לעונש.",0,1,0.9914317
717,"לצד זאת, צוין כי הנאשם קיבל אחריות על העבירות שביצע, הביע אמפטיה כלפי האנשים שנפגעו מהתנהגותו, וכן הביע מוטיבציה ורצון לשקם את חייו ולאמץ אורח חיים נורמטיבי.",0,1,0.98791075
122,"בהינתן המתחם האמור, יש לגזור את עונשו של הנאשם תוך שקילת המתחם ותוך התחשבות בנסיבות המשליכות על קביעת העונש המתאים, כאשר בענייננו יש לתת משקל להלימה בגזירת העונש לביצוע העבירה ע""י הנאשם; נסיבות ביצוע העבירה וחומרתה; מידת הפגיעה בערך המוגן; גילו של הנאשם; הנסיבות עליהן עמדו הצדדים בטיעוניהם; הודאתו המצביעה על נטילת אחריות; היותו נעדר עבר פלילי; ההליך השיקומי כפי שהוא מתואר ע""י שירות המבחן בתסקיריו.",0,1,0.9844936
516,"התרשמו כי עבר תהליך עצמי של בחינת מהלכיו באירוע, הורתע, מבין את החומרה העולה ממעשיו וכן מסוגל לזהות את הקשיים שעמדו ברקע.",0,1,0.9839414
293,"הדגישה את רצונו של הנאשם לעשות שינוי, והביעה מוכנות ורצון לעזור לו.",0,1,0.98391694
413,"הנאשם מסר כי בית הסוהר הוא מקום קשה עבורו, כי בעקבות מעצרו והוא חידש את הקשר עם משפחתו, כי הוא לוקח אחריות מלאה על מעשיו, מבין את חומרת מעשיו ומודע להשלכות.",0,1,0.98314905
327,"היא שיתפה וממשיכה לשתף פעולה באופן מלא עם הטיפול, וקיבלה אחריות מלאה למעשיה.",0,1,0.98251295
964,"שירות המבחן חיווה דעתו שהנאשם נוטה לקחת סיכונים, מתקשה להציב לעצמו גבולות ולשמור על כללים וחוקים וכן מתקשה לקבל אחריות מלאה על מעשיו או לבחון לעומק את מניעיו ולשתף פעולה בהליך שיקומי.",0,1,0.978075
437,"הנאשם ציין, כי שילם מחיר כבד על מעשיו, וכעת הוא מסתכל קדימה ומעוניין להמשיך לחיות את חייו כאדם נורמטיבי ושומר חוק.",0,1,0.97430044
376,"הנאשם הוסיף כי הוא נקלע לחובות בשל טעיות שעשה בעבר, כי הבין ש""הדרך הקצרה היא הדרך הארוכה"", כי הוא מעוניין לתקן את דרכיו וכי לא יחזור על הטעויות שביצע.",0,1,0.97304374
244,בצד זאת התרשמתי שלהליך המשפטי אפקט מרתיע ומנכונות כנה ואמיתית של הנאשם לשנות את דפוסי התנהלותו.,0,1,0.96734935
