,sentence,true_label,predicted_label,probabilities
965,"יאמר, כי כבר בתחילת טיעוניו הדגיש ב""כ הנאשם את העובדה שהנאשם היה נתון במעצר מאחורי סורג ובריח משך תקופה של כשלושה חודשים וכי לאחר מכן נעצר באיזוק אלקטרוני לתקופה משמעותית.",0,1,0.9999893
159,"בנוסף, התבקש להשית מאסר על תנאי, פסילת רישיון נהיגה בפועל ועל תנאי וקנס משמעותי ויש חשיבות רבה לרכיב ענישה כלכלי משמעותי שירתיע את הנאשם ואחרים מלבצע עבירות דומות אשר מבוצעות ברגיל מתוך רצון לעשות רווח מהיר.",0,1,0.9999889
1062,"בתסקיר המשלים שהוגש עובר לדיון היום, עדכן שירות המבחן, כי הנאשם החל לעבוד במכבסה החל מחודש אפריל 2024.",0,1,0.9999888
579,לאור השימוש שנעשה ברכבו של הנאשם באישום הראשון לצורך ביצוע עבירות הסחר בסם מסוכן (הנאשם הורשע בסיוע לביצוען) והיעדר כל אינדיקציה האם הנאשם עושה או אינו עושה שימוש בסמים מסוכנים מצאתי כי יש מקום להורות על פסילה ממושכת יחסית של רישיון הנהיגה על מנת שיקשה על הנאשם לבצע עבירות דומות עם שחרורו וכן להרתיעו.,0,1,0.99998856
569,כך גם יש ליתן משקל לעובדה כי זהו לו מעצרו הראשון ומדובר במעצר ממושך בן כ – 8 חודשים.,0,1,0.99998856
1108,"להשלמת התמונה יצוין כי התיקים השני, השלישי והרביעי נוהלו בבית המשפט הקהילתי, עד למעצרו של הנאשם בתיק העיקרי, אשר הביא להפסקת ההליכים שם.",0,1,0.99998844
738,"הלכה למעשה, הנאשם נותן את הדין כעבור שנים רבות מיום ביצוע העבירות לאחר שאחרים בפרשייה לא רק נידונו זה מכבר, אלא שעניינם נבחן על ידי ערכאת הערעור, והממונה על עבודות השירות התבקש להגיש חוות דעתו ביחס להתאמתו של הנאשם לרצות מאסר בעבודות שירות, פעמיים.",0,1,0.9999883
1017,"באיזון הכולל אני סבור שיש להטיל על הנאשם עונש מאסר שירוצה בעבודות שירות ויאפשר לנאשם להשתלב בהליך טיפולי באמצעות צו מבחן, ככל שירצה ויירתם לכך.",0,1,0.9999882
1068,"אשר לעונש מאסר – סבר שירות המבחן כי הדבר יהווה גורם מדרדר ומסוכן לנאשם נוכח מצבו הנפשי, ולכן המליץ על הטלת של""ץ, שאם יוטל בהיקף נרחב, יבוצע במשך תקופה מירבית של שנתיים נוכח מגבלותיו של הנאשם.",0,1,0.9999882
1067,השירות התרשם כי הנאשם יפיק תועלת מטיפול וממעקב ולכן הומלץ על הטלת צו מבחן.,0,1,0.99998796
970,"הדעת נותנת שהנאשם ביצע את עבירות הסחר ממניע כלכלי, כפי שצוין בתסקיר, ועל מנת להשיא רווח קל לעצמו, תוך מודעות מלאה לנטילת סיכון בביצוע העבירות.",0,1,0.99998796
640,תסקיר מבחן מיום 9.12.2021 (להלן: התסקיר השני),0,1,0.99998784
1168,"באשר לתיק השלישי ורביעי, הסנגור הפנה לעובדה שהנאשם מורשה לנהוג ויש לו רישיון נהיגה אך בשל חובתו כספים הרישיון שלו הוקפא.",0,1,0.99998784
627,"לשירות המבחן מוכר הנאשם, מאבחונים קודמים בין השנים 2010 – 2011 וממסגרת הליך המעצר שבתיק זה.",0,1,0.99998784
646,"נוכח האמור, שירות המבחן מסר כי הערכתו לכך שהסיכון להישנות ביצוע העבירות פחת – התחזקה.",0,1,0.99998784
65,"בהמשך להמלצת שירות המבחן, שוחרר בחודש ינואר 23 לחלופה טיפולית ומאז מצוי בהליכי גמילה ושיקום.",0,1,0.9999877
178,"הנאשם עצור עד תום ההליכים, ולאור הזמן שחלף וההרתעה והמשברים שחווה והתפקוד התקין שלו עד לביצוע העבירה ובין כתלי הכלא, התבקש להסתפק בימי מעצרו.",0,1,0.9999877
676,הנאשם סיים השתתפותו בהצלחה בקבוצה הטיפולית ביום 19.2.2024 ובתקופת הדחייה לא נפתחו כנגדו תיקים חדשים.,0,1,0.9999877
243,"לאחר סקירת הסיכונים להישנות העבירות אל מול הסיכויים לשיקום הנאשם, באה קצינת המבחן להימנע מהשתת עונש מאסר בפועל מאחורי סורג ובריח, אך נוכח חומרת העבירות הומלץ על עונש מאסר בעבודות שירות לצד הטלת צו מבחן למשך שנה.",0,1,0.9999876
743,אבו חג'ג' בעל 3 הרשעות קודמות רלבנטיות בתחום הסמים לרבות בגין ניסיון הדחת קטין לסמים.,0,1,0.9999876
1150,הדגישה שהעבירות בתיק זה בוצעו בזמן שהיה הנאשם משולב בבית משפט קהילתי.,0,1,0.9999876
238,קצינת המבחן ציינה כי הנאשם נטל אחריות על ביצוע העבירות והביע צער וחרטה על ביצוען.,0,1,0.9999876
896,"מחד, תועלת לציבור תצמח מהמשך שיקומו של הנאשם והפחתה כאמור משמעותית של הסיכון הנשקף ממנו, ומאידך צו מבחן, לצד עונשים צופי פני עתיד מהווים עונש מרתיע ומאוזן שמגלם בחובו גם שיקולי ענישה נוספים, כמו גמול והרתעה.",0,1,0.9999875
1198,"הנאשם צירף מספר תיקים, הודה בעבירות המיוחסות לו וחסך זמן שיפוטי וזאת יש לזקוף לזכותו.",0,1,0.9999875
