,sentence,true_label,predicted_label,probabilities
1106,17 חודשי מאסר בפועל בניכוי ימי מעצרו 24.3.22-31.3.22.,0,1,0.9984285
1107,"8 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך 3 שנים עבירת סמים מסוג פשע החל מיום שחרורו ממאסר.",0,1,0.99840885
1108,"5 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך 3 שנים עבירה של גניבת חשמל החל מיום שחרורו ממאסר.",0,1,0.99837935
1109,"קנס בסך 30,000 ₪ או 70 ימי מאסר.",0,1,0.99817467
395,"לאור כל האמור, ב""כ המאשימה ביקשה לגזור על הנאשם 9 חודשי עבודות שירות, קנס משמעותי, מאסר על תנאי וצו מבחן.",0,1,0.99802315
287,מתקופת המאסר תנוכה תקופת מעצרו מיום 12.3.19.,0,1,0.99786335
963,לכן הומלץ להטיל עליו צו מבחן למשך שנה בצד עונש מאסר בעבודות שירות.,0,1,0.9978351
891,"מורה על חילוט סך 17,000 ₪, כאמור בהחלטה מיום 3.6.2024.",1,0,0.99731195
469,צו מבחן למשך שנה מהיום.,1,0,0.9971173
542,"של""ץ בהיקף 350 שעות לפי תוכנית שיגיש שירות המבחן עד ליום 1.4.24.",1,0,0.9961552
78,"פיצוי בסך 20,000 ₪ לחברת החשמל .",1,0,0.99608696
1033,"אי לכך, ועל יסוד כל האמור, מצאתי להעמיד את עונשו של הנאשם על תשעה חודשי מאסר שירוצו בדרך של עבודות שירות.",1,0,0.9904163
822,"הסכמה בדבר חילוט הרכב - ב""כ הצדדים הגיעו להסכמה, לה ניתנה ביום 3.6.24 תוקף של החלטה, לפיה היקף חילוט הרכב יעמוד על סך 17,000 ₪ וישולם באופן הבא: 15,000 ₪ מתוך כספים שהופקדו בקופת בית המשפט ו- 2,000 ₪ נוספים ינוכו מתשלום תגמולי ביטוח על סך 48,608 ₪, שקיבל הנאשם עבור רכב שנגנב.",1,0,0.002753703
