name_case,text,model_extraction,tagger_extraction,feature
ME-09-05-16192-355,"57    ביום 1.9.09 הורשע הנאשם על פי הודייתו, במסגרת ...
58    באשר לעבירה נשוא תיק זה, נמנע הנאשם בפני קצין ...
59    שירות המבחן ציין כי מהתרשמותו מהנאשם ומהיכרות ...
60    לאור האמור, ונוכח העובדה כי הנאשם אינו נוטל אח...
61    בשל העובדה כי בפני קצין המבחן חזר בו הנאשם מהו...
62    הנאשם הביע צער וחרטה, הודה בהובלת הנשק וביקש מ...
63    אף תסקיר שירות המבחן אינו מיטיב עם הנאשם, בלשו...
64                  ראשית, הודאתו המיידית בתחילת משפטו.
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-09-05-16192-355,"Series([], Name: text, dtype: object)",['תקין'],['נשק מופרד מתחמושת'],STATUS_WEP
ME-09-05-16192-355,"Series([], Name: text, dtype: object)",[],['ברכב'],HELD_WAY
ME-09-05-16192-355,"Series([], Name: text, dtype: object)",[],['תת מקלע'],TYPE_WEP
ME-09-06-10774-130,"82    הנאשם הורשע על פי הודאתו בעבירות של החזקת ונשי...
83    הנאשם הודה במיוחס לו בכתב האישום ביום הגשת כתב...
84                הודגש כי הנאשם לקח אחריות ומביע חרטה.
85    ב""כ הנאשם ציין כי הנאשם הודה מיד בישיבה הראשונ...
86    הנאשם הודה ביום הגשת כתב האישום (וגם הודה בעת ...
87    סבור אני כי העובדה שנאשם מודה ביום הגשת כתב הא...
88    מעבר לכך – ההודאה המיידית מצביעה על חרטה אמיתי...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-09-06-10774-130,"Series([], Name: text, dtype: object)",[],['ברכב'],HELD_WAY
ME-09-06-10774-130,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-09-11-7566-913,"101    הנאשם הורשע על פי הודאתו בכתב האישום, בעבירות ...
102    זאת ועוד, קצין המבחן מציין כי הנאשם קיבל אחריו...
103    בנוסף לאמור לעיל, בעניינינו, נסיבות לקולא נוספ...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-09-11-7566-913,"Series([], Name: text, dtype: object)",[],['מצא'],OBTAIN_WAY
ME-09-11-7566-913,"Series([], Name: text, dtype: object)",['תקין'],['תקול'],STATUS_WEP
ME-09-11-7566-913,"Series([], Name: text, dtype: object)",[],['ברכב'],HELD_WAY
ME-09-11-7566-913,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-10-08-17917-313,"132    הנאשם הודה בעובדות כתב האישום (בשני האישומים) ...
133    מטעם הנאשם העידו הן גרושתו והן רעייתו הנוכחית,...
134    לטענתו, הנאשם אדם נורמטיבי שהודה בהזדמנות הראש...
135    הנאשם עצמו הביע אף הוא חרטה על מעשיו וטען כי מ...
136    צויין בחוות דעת הממונה כי הנאשם הודה בשימוש בס...
137    קשה היא מלאכת גזירת הדין והיא קשה שבעתיים כאשר...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-10-08-17917-313,"Series([], Name: text, dtype: object)",['תקין'],['נשק מופרד מתחמושת'],STATUS_WEP
ME-10-08-17917-313,"Series([], Name: text, dtype: object)",[],['מוסלק - מוסתר'],HELD_WAY
ME-10-08-17917-313,"Series([], Name: text, dtype: object)",[],['הגנה עצמית'],PURPOSE
ME-10-08-17917-313,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-12-03-13401-281,"182    הנאשם הודה, טרם שמיעת ראיות, בעובדות כתב אישום...
183    עוד טען לזכות הנאשם הודאתו, חרטתו וחסכון בזמן ...
184    הנאשם ב""דברו האחרון"" אמר שהוא מבקש סליחה, מצטע...
185    כמפורט בעובדות כתב האישום בהן הודה הנאשם, הירי...
186    בפרט עברו הנקי, חרטתו, הודאתו בהזדמנות הראשונה...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-12-03-13401-281,"Series([], Name: text, dtype: object)",['תקין'],['נשק עם כדור בקנה'],STATUS_WEP
ME-12-03-13401-281,"Series([], Name: text, dtype: object)",[],['ברכב'],HELD_WAY
ME-12-03-13401-281,"Series([], Name: text, dtype: object)",[],"['ירי', 'כן']",USE
ME-12-03-13401-281,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-12-03-15148-775,"219    במסגרת הסדר הטיעון הוגש נגד הנאשם כתב אישום מת...
220    בעקבות הודאת הנאשם בעובדות כתב האישום, הורשע ה...
221        הנאשם עצמו הביע צער על המעשה שעשה והביע חרטה.
222    בנוסף לאלה אזקוף לזכות הנאשם את נסיבותיו האישי...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-12-03-15148-775,"Series([], Name: text, dtype: object)",['תקין'],['נשק מופרד מתחמושת'],STATUS_WEP
ME-12-03-15148-775,"Series([], Name: text, dtype: object)",[],['ברכב'],HELD_WAY
ME-12-03-15148-775,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-12-04-33577-700,"Series([], Name: text, dtype: object)",[],['על גופו'],HELD_WAY
ME-12-04-33577-700,"Series([], Name: text, dtype: object)",[],['סכסוך'],PURPOSE
ME-12-04-33577-700,"Series([], Name: text, dtype: object)",[],"['ירי', 'כן']",USE
ME-12-04-33577-700,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-12-05-33444-999,"286    הנאשם הורשע עפ""י הודייתו, במסגרת הסדר טיעון בג...
287    הסנגור עמד על נסיבות חייו הקשות של הנאשם, אובד...
288    הנאשם פנה לבית המשפט בדברים אחרונים, הצטער על ...
289    בשקלול מכלול השיקולים במקרה דנן, דומני כי ראוי...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-12-05-33444-999,"Series([], Name: text, dtype: object)",['תקין'],['נשק עם מחסנית בהכנס'],STATUS_WEP
ME-12-05-33444-999,"Series([], Name: text, dtype: object)",[],"['מוסלק - מוסתר', 'ברכב']",HELD_WAY
ME-12-05-33444-999,"Series([], Name: text, dtype: object)",[],['הגנה עצמית'],PURPOSE
ME-12-05-33444-999,"Series([], Name: text, dtype: object)",[],['אקדח'],TYPE_WEP
ME-12-09-51207-971,"313    לאחר שמיעת ראיות התביעה וכן שמיעת עדותו של הנא...
314          הוא אף נטל אחריות לביצוע העבירה והביע חרטה.
315    לדבריו, הנאשם, שאין לו כל עבר פלילי ואין הוא ב...
316    הנאשם הביע התנצלות וחרטה וביקש את רחמי בית המשפט.
317    הנאשם אמנם מעד, בעבירות לא קלות, אולם הוא לקח ...
Name: text, dtype: object","['לא', 'כן']",['כן'],CONFESSION
ME-12-09-51207-971,"Series([], Name: text, dtype: object)",[],['ייצר'],OBTAIN_WAY
