,sentence,true_label,predicted_label,probabilities
754,"הנאשם וצלאח, רכובים על הקטנוע, נסעו ברחבי המחנה וסביבותיו, כשהם תרים, בין היתר, אחר כח צה""ל על מנת לירות לעברו.",0.0,1,0.9716091
786,"השוטרים כרזו למכונית לעצור, אך המכונית החלה להימלט מהניידת והנאשם זרק את התיק ובו תת המקלע, שתי המחסניות הריקות, הכפפה ו-26 כדורים מחוץ לחלון המכונית.",0.0,1,0.9704653
730,"הנאשם הורשע על יסוד הודאתו בעבירות של נשיאת נשק ותחמושת וירי באזור מגורים, בכך שטמן באדמה, בסמוך לביתו, תיק ובו נשק תת מקלע מסוג ""קרל גוסטב"", יחד עם מחסנית ותחמושת מסוג 9 מ""מ.",0.0,1,0.9680089
745,"הנאשם ורדואן נכנסו למכונית, כאשר רדואן נהג ברכב והנאשם התיישב במושב שליד הנהג בעודו נושא עמו, בתוך תיק גב, את תת המקלע יחד עם שתי מחסניות ריקות וכפפה ובה 26 כדורים מסוג 9 מ""מ.",0.0,1,0.9679797
746,"האירוע לא הסתיים בכך, אלא הנאשם המשיך ונשא את הנשק בעודו ברכב  ובתוך תיק גב, יחד עם שתי מחסניות ריקות וכפפה ובה תחמושת הכוללת 26 כדורים מסוג 9 מ""מ.",0.0,1,0.96690226
454,"במהלך המנוסה מהשוטרים, זרק הנאשם את האקדח והמחסנית ובמעשיו המתוארים לעיל הוא החזיק ונשא  נשק שמסוגל לירות כדור שבכוחו להמית אדם, אביזר לנשק ותחמושת וזאת בלא רשות על פי דין להחזקתם ונשיאתם.",0.0,1,0.9656842
785,"לדברי ב""כ הנאשם, הסיכוי לפגיעה בירי ממרחק 250 מטר קלוש, והדבר מעיד על כוונה מאוד מרושלת.",0.0,1,0.9646194
551,"כלי הירי המאולתר לא פעל בסופו של דבר, ובשני האירועים לא נגרם נזק לאדם, וכתב האישום אינו מתאר גם נזקי רכוש.",0.0,1,0.96200603
744,"מיד בהמשך, הלך הנאשם לכיוון צפון כשהוא נושא את תת המקלע בידו.",0.0,1,0.9616999
482,"הדגישה במיוחד, כי מדובר בעבירה נפוצה שניתן להגדיר אותה כמכת מדינה ובוודאי כמכת אזור, כשלא אחת הסיכון הפוטנציאלי מתממש ואנשים תמימים נפגעים מירי תועה.",0.0,1,0.96099645
82,"עוד ציין הנאשם, כי הוא חש שנעשה לו עוול היות והאנשים בני החמולה השנייה, החזיקו בנשק ואף ירו בו, אולם רק הוא נעצר.",0.0,1,0.9607095
630,"כאשר שב למחנה בסביבות השעה 02:30 או בסמוך לכך, פגש את צלאח חמד (להלן: ""צלאח""), אשר החליט לבצע פיגוע ירי כנגד חיילי צה""ל.",0.0,1,0.9592464
457,אחיו הבכור נהרג ביוני אשתקד מירי על רקע סכסוך עם חלק מבני משפחתו המורחבת.,0.0,1,0.95910364
430,"בנוסף, הנשק עצמו הוא בקוטר לא קטן ונשיאתו עם כמות לא מבוטלת של כדורים מהווה נדבך נוסף לחומרת האירוע.",0.0,1,0.9544154
1274,"הנשק שנמכר כלל נשק דמוי M-16, קלשניקוב וקליעים תואמים, שני תתי-מקלע מסוג קרלו, מחסניות תואמות ו-50 קליעים.",0.0,1,0.95408064
540,"הסכנה הנשקפת כתוצאה משימוש בנשק היא חמורה וברורה, ועלולה לגרום לנזק משמעותי ואף לקיפוח חיי אדם, הן מחוסר זהירות והן, על אחת כמה וכמה, תוך שימוש מכוון בו.",0.0,1,0.9539488
323,"כתוצאה מכך נחת הרימון במרפסת והתפוצץ תוך גרימת קול נפץ עז, שהעיר את המתלונן ושכנו משנתם.",0.0,1,0.9535562
787,"זמינות של נשק חם – ובמיוחד כשעסקינן בנשק מאולתר מסוג ""קרל גוסטב"", בידי מי שאינו מורשה לכך, עלולה להביא לפגיעה בחיי אדם, לרבות בחפים מפשע.",0.0,1,0.95270735
788,"באישום השני הורשע הנאשם בכך שהצטייד בכלי נשק מאולתר שבו כדור בקליבר 9 מ""מ, ויחד עם אנשים נוספים, ביניהם אמיר סלמה שהצטייד ברימון גז ובשני רימוני הלם, הלכו למקום בו שהו אחרים שהיו מסוכסכים עמם.",0.0,1,0.9526012
633,"במעשיו המתוארים לעיל ניסה הנאשם, בצוותא חדא, לפגוע באדם בקליע, בסכין, או בנשק מסוכן או פוגעני אחר שלא כדין, נשא נשק בלא רשות על פי דין לנשיאתו, החזיק נשק בלא רשות על פי דין להחזקתו, וגנב רכב.",0.0,1,0.9508801
1414,"מכתב האישום עולה, כי ביום 16/07/09 בשעה 11:00 או בסמוך לכך בכפר מגדל שמס, החזיק הנאשם בביתו נשק מסוג רובה צייד שמסוגל לירות כדור ובכוחו להמית אדם וזאת ללא רשות על פי דין.",0.0,1,0.95027786
714,"במקרה דנן אף מדובר בסוג נשק אשר יש בכוחו להביא להרג אדם, בין אם למטרות פליליות או למטרות לאומניות.",0.0,1,0.94992507
1068,"בנוסף, במהלך שתיים מההתפרצויות, הסתירו הקושרים בואדי  302 פגזי 105 חודרי שריון לא מפורקים, אשר אותרו והושבו לצה""ל.",0.0,1,0.94891554
1076,"פגזי תחמושת הם דבר מסוכן, העלול להתפוצץ ולגרום פגיעות בגוף בנפש וברכוש.",0.0,1,0.9436062
631,"בשלב מסוים ראו חיילים, אולם מאחר שבמקום היו אנשים נוספים המוכרים לשניים, החליטו שלא לבצע את הפיגוע.",0.0,1,0.9427661
1411,"הנאשם נשא את האקדח על גופו בתוך תיק צד, כשהוא טעון ב- 11 כדורים ודרוך.",0.0,1,0.94050175
10,"כנגד הנאשם הוגש לבית משפט זה כתב אישום, בו יוחסו לו במקור העבירות שעניינן, נשיאת נשק שלא כדין, החזקת נשק שלא כדין וירי באזור מגורים.",0.0,1,0.939526
655,"בהמשך  אותו לילה הוא פגש בצלאח, שהחליט לבצע פיגוע נגד חיילי צה""ל, ולצורך כך היה זקוק לנשק.",0.0,1,0.9371655
846,"השניים תיכננו לבצע פיגוע נגד חיילים, הם הבחינו בחיילים, אך מאחר שהיו במקום אנשים אחרים המוכרים להם, החליטו שלא לבצע את הפיגוע.",0.0,1,0.9346582
1122,"בענייננו, תכנן הנאשם וקשר קשר עם אחר לשם הכנסת נשק ותחמושת משטחי הרשות הפלשתינאית לישראל, בתמורה לבצע כסף.",0.0,1,0.9340746
1065,"אחר כך הקושרים רכשו רכב ועגלה המשמשת להעמסת משאות, הגיעו לבסיס, פרצו את הגדר, נכנסו לבסיס וגנבו כ- 100 פגזים.",0.0,1,0.9337943
636,הנאשם נטל חלק בעימותים ויידה ממרחק של כ-20 מטר אבנים לעבר כוחות הביטחון.,0.0,1,0.9336794
1214,"נאשם 3 (פסקאות 36-30) – הורשע בעבירות של סחר בנשק, קשירת קשר לסחר בנשק ושתי עבירות של ירי באזור מגורים, בקשר לארבע עסקאות נשק.",0.0,1,0.93332404
331,יש לזכור כי יש ברימון הלם כדי לפגוע בגופו של אדם הקרוב לרימון בשעת הפעלתו.,0.0,1,0.9319981
664,הנאשם נטל חלק בעימותים ויידה אבנים לעבר כוחות הביטחון ממרחק קצר של 20 מטר.,0.0,1,0.9300444
1070,"מעשי הנאשם הם פרי יוזמה מתוכננת שלו ושל אחרים שפעלו במשותף ככנופיה מאורגנת היטב, לשם גניבת פגזים מבסיס צה""ל ומכירת המתכות מהן עשויים הפגזים.",0.0,1,0.92788875
452,"הנאשם שהיה במתחם הבחין בשוטרים והחל במנוסה מהם, וזאת כשהוא נושא ומחזיק אקדח מסוג FN מספר 74423 ומחסנית עם 13 כדורים 9 מ""מ.",0.0,1,0.92569995
639,"במעשיו המתוארים לעיל הנאשם ייצר נשק; יידה אבן או חפץ אחר לעבר שוטר או לעבר כלי רכב משטרתי, במטרה להפריע לשוטר כשהוא ממלא את תפקידו כחוק או להכשילו בכך בשלוש הזדמנויות שונות, וניסה לשלח אש במזיד בדבר לא לו.",0.0,1,0.92306757
