,sentence,true_label,predicted_label,probabilities
1240,"במועד כלשהו קודם ליום 8.9.2018, שוחח הנאשם עם סאמי, תושב השטחים, וזאת כדי לרכוש ממנו נשק.",0,1,0.9999926
1241,"לשאלת הנאשם באשר למחירו, אמר סאמי שהמחיר הוא 8,000-7,000 ₪ (להלן – העסקה).",0,1,0.9999925
891,"בהמשך  אותו לילה הוא פגש בצלאח, שהחליט לבצע פיגוע נגד חיילי צה""ל, ולצורך כך היה זקוק לנשק.",0,1,0.9999925
1249,"כל זאת כדי שסאמי ייקח את הנשק ויעבירו אל הנאשם תמורת הסכום שסוכם ביניהם, כמתואר לעיל.",0,1,0.9999925
866,"כאשר שב למחנה בסביבות השעה 02:30 או בסמוך לכך, פגש את צלאח חמד (להלן: ""צלאח""), אשר החליט לבצע פיגוע ירי כנגד חיילי צה""ל.",0,1,0.9999925
1124,"עבור העברת הנשק הובטח לנאשם סך של 2,000 ₪ (להלן: ""העסקה"").",0,1,0.9999925
1404,כמו כן צוין שלחובת הנאשם הרשעה משנת 2010 בגין החזקת סכין ורכישת חלק מנשק ותחמושת (העבירה התיישנה).,0,1,0.9999924
508,חומרה יתרה מיוחסת לאותם מקרים שבהם השימוש בנשק חם נעשה בתוך שטח עירוני ובסביבת בתי מגורים.,0,1,0.9999924
1137,"לא נעלמה מעיני העובדה  שהתחמושת שנמצאה אינה מתאימה לרובה שנתפס אלא לרובה בעל קוטר אחר, אך סביר להניח כי זו היתה לשם שימוש בנשק אחר.",0,1,0.9999924
1219,"מדובר בנשק רב עוצמה, מאובזר בתחמושת כאמור ובכך טמונה החומרה היתרה שבהחזקתו ונשיאתו.",0,1,0.9999924
1221,"בנוסף, יש בפעולות הנאשם אשר פעל להסוות את הנשק והתחמושת, עוד בטרם הגיעה המשטרה למקום, כדי לרמז על כוונות שאינן תמימות.",0,1,0.9999924
1242,הנאשם הסכים לרכוש את הנשק תמורת הסכום האמור והשניים שוחחו על פרטי העסקה והאופן שתיעשה.,0,1,0.9999924
1245,הנאשם פנה אל אימן וביקש ממנו להסיע את סאמי לשכם כדי שישיג עבורו את הנשק.,0,1,0.9999924
876,"לאחר שקדרי השיב בחיוב, ביקש הנאשם מאביו כי ייתן לו כסף לצורך רכישת הנשק, אולם אביו סירב.",0,1,0.9999924
1287,"בעניין קישק, טען, כי דובר בנסיבות חמורות יותר, גם אם שם דובר בניסיון לרכישת נשק.",0,1,0.9999924
762,יריות בנשק חם באזור מגורים - עבירה לפי סעיף 340א לחוק העונשין;,0,1,0.9999924
1130,"כן נטען, כי התחמושת שנמצאה אינה תואמת את כלי הנשק, וכי פרטיו של אותו יוסף היו מצויים בידי האחר ולא היו ידועים לנאשם.",0,1,0.9999924
372,"הסנגור הדגיש כי טענות הנאשם, שהתכוון להעביר את הנשק למשטרה וכי נשיאת הנשק הייתה לזמן קצר מאוד, לא נבדקו ולא אומתו.",0,1,0.9999924
462,"יחד עם האמור, יש גם להתחשב במניעים של הנאשם להחזיק בנשק (נסיבות העבירה).",0,1,0.99999225
1442,"הסנגורית סברה כי מתחם העונש ההולם צריך לנוע בין 12 חודשי מאסר ל- 24 חודשי מאסר, וזאת בהינתן כלל הנסיבות, לרבות העובדה כי מדובר באקדח תקול.",0,1,0.99999225
82,"עוד ציין הנאשם, כי הוא חש שנעשה לו עוול היות והאנשים בני החמולה השנייה, החזיקו בנשק ואף ירו בו, אולם רק הוא נעצר.",0,1,0.99999225
1017,"לדברי ב""כ הנאשם, הסיכוי לפגיעה בירי ממרחק 250 מטר קלוש, והדבר מעיד על כוונה מאוד מרושלת.",0,1,0.99999225
99,"בהתייחסותו לעבירות דנן, הנאשם חזר על גרסתו הקודמת וציין, כי באותה תקופה שרר ריב קשה בין שתי חמולות בכפר וכי במועד האירוע, הוא היה נתון תחת השפעת אלכוהול וכי אינו זוכר כיצד הגיע הנשק לידיו.",0,1,0.99999225
1717,"לדבריו, עוד כשהשוטרים הגיעו לביתו הוא הוביל אותם אל הנשק ומסר להם אותו, וגם בבית המשפט הוא הודה בהזדמנות הראשונה.",0,1,0.99999225
1243,"בהמשך לכך וכדי להוציא לפועל את העסקה, ביקש סאמי שהנאשם יסיע אותו לשכם כדי להביא את הנשק.",0,1,0.99999225
36,"באשר לנסיבות הקשורות בביצוע העבירות ציינה המאשימה, כי הנאשם לא ""נקלע"" לאירוע בו החזיק בנשק באופן רגעי וספונטני.",0,1,0.99999225
867,"בשלב מסוים ראו חיילים, אולם מאחר שבמקום היו אנשים נוספים המוכרים לשניים, החליטו שלא לבצע את הפיגוע.",0,1,0.99999225
864,"בליבו של הנאשם גמלה ההחלטה לגנוב את הקטנוע, ולאחר שחברו אמר כי אינו מעוניין להיות מעורב בכך ונסע מהמקום, הניע הנאשם את הקטנוע באמצעות חיבור החוטים ונסע עם הקטנוע מהמקום.",0,1,0.99999225
1677,"לדבריו, הוא לא התכוון לעשות שימוש בנשק, אלא להרתיע באמצעותו את סביבתו מפני פגיעה בו ובבני משפחתו.",0,1,0.99999225
1288,"שכן, באותו עניין כבר שולמה התמורה עבור הנשק, אך הנאשם נתפס לפני שהספיקו להעביר אליו את הנשק.",0,1,0.99999225
1289,"זאת בשונה מהנסיבות בעניין הנאשם הנדון, שלפיהן כלל לא שולם דבר ואף לא הספיקו לנסוע להביא את הנשק.",0,1,0.99999225
