,sentence,true_label,predicted_label,probabilities
145,"עוד יצוינו נסיבותיו המשפחתיות והאישיות של הנאשם, הקורות אותו בתקופת נערותו ובהליך התבגרותו, בשים לב לקשיים בהתנהגות הנאשם, כפי שאלה פורטו בהרחבה וקיבלו את ביטויים בתסקיר הראשון שהוגש בעניינו.",0,1,0.9999938
1164,"עוד אוסיף ואציין בנקודה זו, לקולה, את נסיבותיו האישיות של הנאשם, כפי שהובאו בפני בית המשפט מפי הסנגור המלומד, כמו גם את נכונות אחיו של הנאשם לפעול לשיקומו, כאמור בעדותו בדיון בפניי.",0,1,0.9999938
187,עברו הפלילי של הנאשם,0,1,0.9999938
612,עיננו הרואות כי הנאשם לא הפנים את המסר מהסתבכותו בהליך הפלילי הקודם ושב לבצע עבירות שהינן עבירות חמורות יותר.,0,1,0.9999937
79,"עוד ציין הנאשם, כי מעורבותו הנוכחית בפלילים, מסייעת לו לערוך חשבון נפש אמיתי ולהתבונן במהות אורחות חייו, דבר המביא אותו לשקול חזרה למעגל הלימודים.",0,1,0.9999937
1652,"אשת הנאשם, מחנכת בבית ספר בלוד, סיפרה שהנאשם הינו אדם נורמטיבי ומסור מאד למשפחה.",0,1,0.9999937
131,"יחד עם זאת נציין, כי עסקינן במי שהוא ""בגיר - צעיר"" כהגדרת בית המשפט העליון בסוגיה זו, על ההשלכות הרוחביות הקמות מכך.",0,1,0.9999937
440,"ב""כ הנאשם גם הדגיש, את המהפך שמרשו ביצע בחייו, העובדה כי בעבר היו בעניינו תסקירים שליליים, בעוד שהתסקיר האחרון היה חיובי, וכי היה זה שירות המבחן שעדכן מיוזמתו את בית המשפט בנכונות הנאשם להיכנס להליך טיפולי.",0,1,0.99999356
1676,"שירות המבחן פירט בתסקירו את הרקע של הנאשם, ואת נסיבותיו האישיות המשפחתיות והבריאותיות.",0,1,0.99999356
530,התסקיר מפרט את נסיבות חייו של הנאשם והרקע המשפחתי שלו.,0,1,0.99999344
1649,"ב""כ הנאשם הפנה לנסיבותיו החיוביות, כשהאירוע נשוא כתב אישום חריג מאד בנוף חייו.",0,1,0.99999344
439,"הסניגור טען, כי יש להתחשב בתקופה הארוכה שעברה מיום מעצר הנאשם בגין העבירה בה הורשע כאן, ליום הגשת כתב האישום – חייו של הנאשם לא נעצרו ואף נולדו לו ולאשתו תאומות, כאמור.",0,1,0.99999344
132,"בהקשר זה נציין, כי בעת ביצוע העבירות, היה הנאשם כבן 20 שנים וכי כיום, הנאשם הינו כבן 21 שנים.",0,1,0.99999344
80,"לדבריו, בעת האירוע, היה תחת השפעת אלכוהול וכי בעקבות ריב וסכסוך קודם עם בני חמולה אחרת בכפר, התרחשו קטטות בין הצעירים  משתי החמולות, כאשר במהלך אחת מהן, הוא הותקף באורח קשה.",0,1,0.99999344
437,"מאז, המשיך, לא קרה דבר, כאשר מדובר בתקופה של שלוש שנים וחצי בה הנאשם ומשפחתו מתגוררים באותה העיר, והוא עובד ומעסיק עובדים.",0,1,0.9999933
409,"הנאשם הופנה לאבחון השירות מספר פעמים, ובעבר (בשנת 2007)",0,1,0.9999933
384,"בגזירת דינו של הנאשם יש להתחשב בשלל מרכיבים ושיקולים: ראשית, יש להתייחס לחומרת העבירה בכלל וחומרתה בנסיבות המקרה דנן בפרט, לנסיבות הנאשם, לרבות עברו הפלילי וכן לשיקולי הענישה השונים שכוללים בין היתר, גמול, הרתעה ושיקום.",0,1,0.9999933
359,"על אף זאת, שירות המבחן לא התרשם שקיימת אצל הנאשם מוטיבציה גבוהה לפעול למען שינוי אורח חייו ולהתגייס להליך טיפולי וציין, כי גם לאחר הליכים משפטיים בתיקים קודמים בהם נשפט, לא יזם כל פניה לטיפול במטרה לפעול למען שינוי אורחות חייו.",0,1,0.9999933
1274,הנאשם צירף תיקים נוספים שבמסגרתם הורשע בעבירות סמים ובהחזקת סכין.,0,1,0.9999933
625,"לעניין נסיבותיו האישיות של הנאשם, ניתן לזקוף לזכותו את העובדה כי הודה בכתב האישום המתוקן וחסך זמן שיפוטי.",0,1,0.9999933
89,"יחד עם זאת, הנאשם ציין, כי כל אלה הם נחלת העבר וכי כיום, בעקבות ההליך הפלילי בתיק דנן, הוא חש, כי השתנה והוא מתחיל פרק חדש בחייו.",0,1,0.9999933
1627,"הנאשם הורשע בביצוע מספר עבירות – החזקת ונשיאת נשק, ירי מנשק חם, היזק בזדון, חבלה במזיד, נהיגה ללא רישיון נהיגה ונהיגה ללא ביטוח.",0,1,0.9999933
101,"הנאשם שיתף את שירות המבחן, כי הוא חש כיום בושה מול הוריו נוכח הסתבכותו בפלילים ואשמה על כי עיקר נטל פרנסת המשפחה נופלת על כתפי האב המתקשה כיום לעמוד בהוצאות הסתבכותו ומעשיו של הנאשם.",0,1,0.9999933
1444,הנאשם בדברו האחרון ציין כי עבר תקופה לא קלה והביע רצון לשקם את חייו.,0,1,0.9999932
567,"עוד טוען הסניגור, כי בקביעת עונשו של הנאשם יש לקחת בחשבון את נסיבות חייו הקשות, אשר לא פורטו כדבעי בתסקיר, ואשר בגינן הוא מצוי במצוקה רגשית קשה.",0,1,0.9999932
826,"התסקיר מפרט עובדות קשות בנוגע לחייו האישיים ולמשפחתו של הנאשם, ומפאת צנעת הפרט לא ארחיב לגביהן.",0,1,0.9999932
416,"עם זאת, שירות המבחן התרשם ממאמציו של הנאשם לנהל אורח חיים תקין בשנים האחרונות, ועל מנת שלא לפגוע בתפקודו התעסוקתי, הוא המליץ על ענישה קונקרטית של מאסר בעבודות שירות, שיבהיר לנאשם את חומרת מעשיו והשלכותיהם, אך תאפשר לו להמשיך לפרנס את משפחתו ולעמוד במחויבויותיו הכספיות.",0,1,0.9999932
1194,"מהשיחה עמו, התרשמה קצינת המבחן כי הנאשם הינו בעל אישיות לא מגובשת ולא בוגרת המתאפיינת בדימוי עצמי נמוך ורצון להשתייך ולבסס את מעמדו החברתי, במיוחד במקרים בהם מופעל עליו לחץ ע""י הסובבים להוכחת דימוי גברי.",0,1,0.9999932
157,"עניין לנו בבחור צעיר אשר כלל לא הביע נזקקות טיפולית בתסקיר הראשון שהוגש ואף לאחר כברת דרך וזמן ממושך יחסית שניתן לו כדי לנסות ולהשתלב בהליך טיפולי, הרי שגם מהתסקיר המסכם שהוגש עולה, כי עניין לנו בניצניו של הליך, הנאשם עדיין מתקשה לגעת בעולמו הרגשי, מגיב באופן אימפולסיבי בטרם ישקול את צעדיו ונטילת החלק בהליך הטיפולי עדיין מונעת ממניעים חיצוניים.",0,1,0.9999932
92,"יחד עם זאת, הנאשם ציין, כי הוא אינו מביע חשש מפני תוצאות ההליך המשפטי גם אם יקבל עונש מאסר, בשל העובדה שהוא סומך על עצמו שהשתנה לטובה, מתחיל פרק חדש בחייו וכבר התנסה והסתגל למעצר ולשהייתו בתנאי מעצר בית.",0,1,0.9999931
1375,"באשר לפסיקת העונש בתוך המתחם, יש להתחשב הן בנסיבותיו האישיות של הנאשם שאינן כפי הנראה קלות, והן בעובדה שהוא הודה בהזדמנות הראשונה וקיבל אחריות על מעשיו.",0,1,0.99999297
1202,"עוד צוין, כי בתי המשפט התחשבו בעבר בנאשם, כאשר הטילו עליו עונשים מותנים וצו מבחן.",0,1,0.99999297
1437,"מטעם ההגנה העיד מר כפיר אלפונטה, אשר שימש כמאמן הכדורגל של הנאשם בתקופת היותו נער ועד גיל 15.",0,1,0.99999297
452,הוא שב וביקש מבית המשפט שיתחשב במצבו האישי ובמצב משפחתו.,0,1,0.99999285
526,"הנאשם נהג ברכב, כפי שפורט לעיל, אף שאינו בעל רישיון נהיגה והרכב שבו נהג היה בלא רישיון רכב תקף ובלא ביטוח תקף.",0,1,0.99999285
9,"עסקינן במי שהוא ""בגיר – צעיר"" כהגדרת בית המשפט העליון בסוגיה זו, על ההשלכות הרוחביות הקמות מכך.",0,1,0.99999285
84,"הנאשם שיתף את שירות המבחן, כי הוא התנסה בסמים  מסוג חשיש, אך הפסיק בכוחות עצמו.",0,1,0.9999927
96,"אשר על כן וחרף גילו הצעיר של הנאשם, מתקשה שירות המבחן לבוא בהמלצה טיפולית בעניינו וממליץ להשית על הנאשם, ענישה מרתיעה.",0,1,0.9999925
1460,"בין הנאשם לבין מר עאמר אבו עראר, מנהל בית הספר הטכנולוגי בערוער (להלן: ""המנהל"" ו""בית הספר"") קיימת היכרות מוקדמת וקרבה משפחתית.",0,1,0.9999924
881,בתסקיר התייחסות למשפחת המוצא של הנאשם.,0,1,0.99999213
1708,לנוכח גילו של הנאשם ומצבו הבריאותי ביקש הסנגור להטיל עליו מאסר בדרך של עבודות שירות.,0,1,0.99999213
1269,"נאשם 3 (פסקאות 36-30) – הורשע בעבירות של סחר בנשק, קשירת קשר לסחר בנשק ושתי עבירות של ירי באזור מגורים, בקשר לארבע עסקאות נשק.",0,1,0.99999154
1605,רווק.,0,1,0.99999106
1469,שירות המבחן ציין שהנאשם משתתף מזה שלושה חודשים בקבוצה טיפולית בבית הסוהר.,0,1,0.9999908
470,"לא ניתן לצפות מהנאשם להפסיק לחיות את חייו עד אשר עניינו יבוא לכדי סיום – והוא אכן המשיך בחייו, פיתח את עסקיו ולווה כספים לצורך זה, ואף הרחיב את משפחתו.",0,1,0.9999908
571,"לטענת הסנגור, הנאשם עצור מזה כשנה ומבין כי הליך שיקום ראוי שייערך בין כותלי הכלא יצריך תקופה של לפחות 9 חודשים, ועל כן הוא סבור כי יש לאפשר לו הליך שיקומי, שיתחיל מיד עם מתן גזר הדין.",0,1,0.99999
419,"בפגישה עמו, התרשם שירות המבחן, שהנאשם גילה הבנה ראשונית באשר לבעייתיות סביב אורח החיים שניהל לאורך תקופה ארוכה מחייו, לצד ההשפעה של המשך מגוריו בסביבה שולית, זאת אל מול המאמצים שעשה בשנים האחרונות לנהל אורח חיים תקין.",0,1,0.9999881
938,הנאשם ציין כי הוא רוצה לחזור לביתו ולהמשיך בלימודים.,0,1,0.99998796
1485,ציינה את האמירות המתייחסות למצבו הנפשי.,0,1,0.9999877
1638,"לצד זאת הוסיף, שבאותה עת אביו שהתמודד על ראשות עיריית טייבה נקלע לאירוע ירי לעבר רכבו, מצב שעורר חשש רב במשפחתו ודאגה עמוקה לאב.",0,1,0.9999869
218,"זאת ועוד, הנאשם נמנע מחיי חברה שוליים וכפי העולה מתסקיר שירות המבחן, הוא ביטא כוחות תוך שמירה על גבולות, הודה במיוחס לו, לקח אחריות על המעשים והביע חרטה מלאה וכנה בשלהם.",1,0,0.9999794
687,"אמו השקיעה מאמצים רבים בסיוע לאביו החולה, דבר שהקשה עליה להתפנות לצרכים הרגשיים של ילדיה.",1,0,0.99983585
1057,"עם זאת, מאז מעצרו הפסיק הנאשם לצרוך סמים וקצין המבחן התרשם כי הוא מבקש לנצל את המאסר להליך טיפולי משמעותי.",1,0,0.999752
260,"באשר לעתירת המאשימה לחיוב הנאשם לתשלום קנס, הדגיש ב""כ הנאשם, כי מצבה הכלכלי של  משפחת הנאשם הינו קשה וכי הם הפקידו בעבור הנאשם כספים שנלקחו בהלוואה.",1,0,0.9987828
716,"בטרם נשמעו טיעוני הצדדים לעונש, הגישה המאשימה כראיה מטעמה, את גיליון הרישום הפלילי של הנאשם (ענ/1).",1,0,0.00637699
1282,"כן טען, כי מאחר שהנאשם תושב מחנה הפליטים שועפאט, הנתקל תכופות בשוטרים בעת מעבר במחסום, מדובר בהרשעה זניחה.",1,0,0.0010063795
1169,"אשתו תושבת השטחים ובעלת אישור כניסה לישראל אולם כניסתה לשב""ס לא הותרה וכתוצאה מכך הנאשם לא ראה אותה ואת ילדיו למן מעצרו.",1,0,0.0007697451
1064,"ב""כ המאשימה הדגישה כי בתי המשפט רואים חומרה רבה מעשים של קטינים, ואפילו של צעירים מאוד; וכי בענייננו, כשמדובר בנאשם בגיר, החומרה מקבלת עוצמה גבוהה.",1,0,6.901921e-05
249,"במסגרת עדותו העיד אביו של הנאשם, כי הנאשם השתנה וכי הוא מתפקד עתה באופן ראוי.",1,0,3.80856e-05
1283,"כיום הנאשם נתון בחובות כספיים, כך שבפועל, כבר נענש בכך שהעסק שבו השקיע שנים רבות, ירד לטמיון.",1,0,3.345458e-05
1042,"הנאשם מסר, כי ביצע את העבירה הנוכחית על רקע תחושת שייכות לחברה שולית עמה התרועע, כשהפחית וצמצם מחומרת התנהגותו, הביע עמדה קורבנית ולדבריו, הוא היחיד שנעצר מבין קבוצה גדולה שביצעה עבירות דומות באותו מעמד.",1,0,2.881848e-05
1054,עד עתה לא החזיק מעמד במסגרות גמילה כלשהן.,1,0,2.8048045e-05
1616,"ובאישור כללי מקופת חולים מאוחדת, מיולי 2021, צוין בנוגע לנאשם ש""ידוע על אירועים של פרכוס מילדות, ככל הנראה על רקע אפילפסיה.",1,0,2.6218831e-05
1370,"שנית, נשקל המשבר הכלכלי שנגרם למשפחת הנאשם בשל כך שבעקבות מעצרו, העסק שהפעיל קרס והוא נקלע לחובות כספיים; שלישית, לזכות הנאשם יש לזקוף את העובדה שהכיר באחריותו והודה ובכך חסך זמן שיפוטי ניכר.",1,0,2.6194912e-05
230,"כן הפנתה המאשימה לתסקיר שירות המבחן שהוגש בעניינו של הנאשם והדגישה, כי מהתסקיר עולה, כי הנאשם מתקשה לקבל אחריות לעובדות כתב האישום המתוקן בהן הודה, מנסה להיתלות בטענה כאילו ההתרחשויות קרו לאור שימוש לרעה באלכוהול, כאשר הנאשם מביא בפני שירות המבחן גרסה לפיה, לאור היותו תחת השפעת אלכוהול, הוא קיבל מאחר שאינו זוכר מיהו, אקדח.",1,0,2.5130239e-05
255,"במסגרת טיעוניו לעונש ובהתייחס למסמכים אשר הוגשו ע""י המאשימה במסגרת חקירת אביו של הנאשם, ציין ב""כ הנאשם, כי המעסיק הוא זה שגירש את הנאשם ממקום עבודתו, המעסיק ניצל את מצוקת הנאשם שעה שהוא נתון תחת פיקוחו ובתנאים מגבילים.",1,0,2.393145e-05
709,"בנוסף קיים נגדו תיק מב""ד מיוני 2013 (274217-2013) בגין חשד לביצוע עבירות של גרימת מוות בכוונה תחילה, קשירת קשר לעשות פשע, וירי מנשק חם באזור מגורים.",1,0,2.3863377e-05
1531,ובנסיבות היה עליו לדעת בעת הירי שיתכן ויש אנשים במבנה.,1,0,2.3677178e-05
1599,"נתתי משקל לקולא גם לנתוניו המורכבים של הנאשם, לרבות לאלה העולים מהמסמכים הרפואיים שהוגשו, הגם שלקחתי בחשבון את תרומת השימוש בסמים למצב שתואר בהם.",1,0,2.3050037e-05
1594,"מטעמי צנעת הפרט לא אפרט את כלל הנתונים המפורטים במסמכים אלה, אולם אציין כי על-פי הנתונים השונים, נראה כי שימוש בסמים תרם תרומה משמעותית לאותו מצב בו היה נתון הנאשם.",1,0,2.2938748e-05
672,"בבואו לגבש הערכת סיכון לפריצת גבולות מצידו של הנאשם, הביא שירות המבחן בחשבון את תפקודו התעסוקתי היציב ויחסיו המשפחתיים התקינים.",1,0,2.2935927e-05
679,מתסקיר שירות המבחן עולה כי לא מדובר בבעל דפוסי התנהגות עבריינים או אלימים.,1,0,2.2349615e-05
253,"אביו של הנאשם נשאל באשר להתנהגות הנאשם כלפי המעביד ולפיה, הנאשם התחצף, ברח ממקום העבודה ואף קילל.",1,0,2.2173577e-05
705,הנאשם ריצה שלוש תקופות מאסר.,1,0,2.2047778e-05
673,כן נלקחה בחשבון ההתרשמות מן הנאשם לפיה מדובר במי שהשכיל להימנע מהסתבכות קודמת עם החוק  וניחן בתפיסת עולם הנוגדת שימוש באלימות כלפי האחר.,1,0,2.1874534e-05
670,הנאשם חשוד בגרימת מוות בתיק אחר ועצור עד תום ההליכים.,1,0,2.1848185e-05
