,sentence,true_label,predicted_label,probabilities
881,"הנאשם מכר פעמיים כלי-נשק שונים, אשר נזקם הפוטנציאלי רב, כן באישום 5 הנאשם מכר לאחר גם עשרה כדורי תחמושת לנשק.",0,1,0.98850983
3178,בנוסף החזיק לא פחות מ-663 כדורים תואמים נוספים.,0,1,0.98822534
342,"הנאשם וצלאח עצרו את האופנוע, הנאשם הוציא את הנשק מהאופנוע ומסר לצלאח, וצלאח ירה לעבר החיילים שמונה יריות ממרחק של 250 מטר, בכוונה לפגוע בהם.",0,1,0.9873378
581,"השוטרים רדפו אחריו והנאשם ניסה להשליך את הנשק, המחסנית והתחמושת לתוך ארגז עופות שהיה מונח על הרצפה, אולם נתפס על ידי השוטרים.",0,1,0.9870402
692,"בענייננו, החזיק הנאשם בשלושה כלי נשק - שני אקדחים ותת מקלע מאולתר מסוג ""קרלו"", לצד תחמושת מתאימה.",0,1,0.9870085
3284,נשיאת אקדח דרוך עם כדור בקנה מגבירה את הסיכון לפגיעה אף בשגגה.,0,1,0.98672163
1,כתוצאה ממעשיו של הנאשם התפוצץ המטען וגרם נזק לתחתית וכסא נהג הרכב ונזקים לסביבה במרחק של כ-10 מטר ממקום חנית הרכב.,0,1,0.9866454
4371,כוונת הנאשם הייתה לאקדח מסוג FN עם מספר טבוע עליו.,0,1,0.98656684
491,"השוטר הבחין שהנאשם נושא תת מקלע וקרא לעברו ""משטרה, זרוק את הנשק""  אך הנאשם לא ציית עד שהשוטר ירה באוויר באקדחו ואז הוא זרק את הנשק ונמלט מאחורי הבית.",0,1,0.98654014
347,לאחר מכן פנה הנאשם לכיוון הרכב ובמהלך הליכתו ירה כדור נוסף לעבר אותו עובד בניסיון לחבול בו חבלה חמורה עם נשק חם.,0,1,0.9865137
2855,"למנוח נגרמו 3 פצעי ירי, 5 פצעי דקירה בגב וכן פצע דקירה/חתך בשורש כף יד ימין.",0,1,0.98649734
575,צוינה כנסיבה לחומרה החזקת אקדח טעון והחזקת תחמושת נוספת על גופו.,0,1,0.98630047
1879,"בכל הנוגע לאחזקת החפץ דמוי תת מקלע – לא נרשם בכתב האישום, כי המדובר בנשק של ממש, אף לא בתת מקלע מאולתר, אלא בחפץ ""דמוי"" תת מקלע.",0,1,0.9862432
3416,הנאשם נפל מאופניו נמלט מהמקום עד שהגיע לדרך ללא מוצא והשליך את האקדח.,0,1,0.9860934
330,"על פי האישום השני, יומיים לאחר מכן, הגיע הנאשם לקרבת ביתו של המתלונן בשעת בוקר מוקדמת כשהוא נושא תת מקלע מאולתר ותחמושת.",0,1,0.98607695
2188,"הוא ירד מהקטנוע כשהאקדח בידו, התקרב לפתח הבניין וירה ירייה אחת באוויר.",0,1,0.9860378
3728,"כדי לספק לנאשם 3 את התחמושת, התקשר אבו עבסה בשעה 22:48 אל הנאשם 2, ביקש לרכוש ממנו 4 או 5 חפיסות כדורים ובירר עמו את מחיר התחמושת לנשק ארוך ולאקדחים.",0,1,0.9859666
679,"הנאשם הביא את הנשק והתחמושת שרכש לביתו בעזריה, והחביא אותם תחת מרצפה רופפת בחלון המטבח.",0,1,0.9859562
569,במהלך הנסיעה נשא הנאשם והוביל אקדח חצי אוטומטי מסוג FN.,0,1,0.9859161
78,"כתוצאה מכך נחת הרימון במרפסת והתפוצץ תוך גרימת קול נפץ עז, שהעיר את המתלונן ושכנו משנתם.",0,1,0.9859132
3521,הנאשם אחז בידו כפפה חד פעמית ובתוכה סם מסוכן מסוג קוקאין במשקל של 504.02 גרם מחולק לחמישים ואחת חתיכות ומסרה לידי הסוכן.,0,1,0.9858807
977,אין צורך להכביר במילים באשר לסיכון הפוטנציאלי הגלום בנשיאת והחזקת תת מקלע ומחסנית לתת המקלע.,0,1,0.9858161
4181,"L 30192, קליבר 9 מ""מ כשבתוך הנשק מחסנית ריקה התואמת את סוג הנשק.",0,1,0.9857114
572,"הנאשם נשא אקדח טעון ודרוך כשהוא מורכב על אופנוע, ובדרך ליעד (גיאוגרפי) לא ידוע.",0,1,0.98570204
1359,"דקות ספורות אחר – כך, לאחר שמספר שוטרים התקרבו והחלו לירות רימוני – גז מדמיע לעבר המתפרעים על – מנת לפזרם, ירה הנאשם באקדח כשהוא ישוב ברכב ממרחק של כמאה מטרים לעבר השוטרים, עשר יריות לפחות מתוך מניע לאומני – אידיאולוגי.",0,1,0.98562545
2622,"כמו כן נתפס נשק אוטומטי בצבע שחור תוצרת גרמניה וגלגל תוף רזרבי 9 מ""מ – CAL.",0,1,0.98544353
3385,נשיאת אקדח חמורה פחות מנשיאת תת מקלע.,0,1,0.9853904
490,אחד השוטרים הזדהה בפניו כשוטר ומיד לאחר מכן קיס צעק לעבר הנאשם שהיה בבית שיזרוק דבר מה ולאחר מספר שניות יצאו הייתם ורמי מהבית ואחריהם הנאשם כשהוא נושא בידיו חפץ דימוי תת מקלע מאולתר על חלקיו השונים.,0,1,0.98531914
4475,הנאשם ירה מספר יריות לעבר כארם ועומר שניצבו במרחק של מטרים אחדים ממנו.,0,1,0.985306
2354,"כתוצאה מהירי לעבר המנוח, נפגע המנוח מקליע בחזה משמאל אשר עבר דרך הקיבה, הלבלב ועורק הכליה השמאלית, וכן מקליע בצד הקדמי של הירך השמאלית.",0,1,0.98524046
1022,"כתוצאה מהירי של הנאשם כמתואר לעיל, נפגע יונס מקליעים באזור האגן והירך ונגרמו לו פצעי ירי ושבר ריסוק בעצם הזנב; מוחמד נפגע מקליעים באגן האחורי ונגרמו לו פצעי כניסה וכן שבר ריסוק במפרק הירך ובעצם הירך, ואילו מואמן נפגע מקליע באגן משמאל אשר יצא מירך ימין מאחור, וגרם לו לשבר ריסוק בעצם הזנב ופגיעה חבלתית ברקטום.",0,1,0.9852343
913,"במועד מדויק שאינו ידוע למאשימה, במחצית הראשונה של חודש אפריל 2016, רכש מהדי, בלא רשות על פי דין, בברטעה, תת מקלע מאולתר עליו מוטבע המספר 41814  ומחסנית לתת המקלע, בסכום של 7,300 ₪.",0,1,0.98518384
1780,בנוגע לאחזקת תחמושת בכמות כפי שהוחזקה כאן (2 מחסניות עם כדורים) – עד 6 חדשי מאסר בפועל.,0,1,0.985142
232,"במעשיו המתוארים לעיל הנאשם ייצר נשק; יידה אבן או חפץ אחר לעבר שוטר או לעבר כלי רכב משטרתי, במטרה להפריע לשוטר כשהוא ממלא את תפקידו כחוק או להכשילו בכך בשלוש הזדמנויות שונות, וניסה לשלח אש במזיד בדבר לא לו.",0,1,0.98513085
3179,"מדובר אפוא בהחזקה מתמשכת של רובה, נשק התקפי ארוך שפגיעתו הפוטנציאלית קשה, ולצדו כמות גדולה ביותר של תחמושת ואביזרים, לרבות 6 מחסניות מלאות מוכנות לפעולה.",0,1,0.98512924
3012,"ביום 4.01.21 נפגשו השניים והנאשם העביר לסוכן אקדח הזנקה מסוג Retay שהוסב לירי תחמושת קליעים בקליבר 9 מ""מ קצר עם מחסנית תואמת וכדורי 9 מ""מ בתמורה לסך של 37,000 ₪, ותוספת של 1,300 ₪ דמי תיווך לנאשם.",0,1,0.9850906
329,"הנאשם יצא מן הרכב כשבידיו הנשק וניגש לעבר עובד ששהה במקום, אותו עובד פנה לנאשם וביקש לדעת מה ברצונו ובתגובה הנאשם ירה כדור אחד באויר על מנת להפחידו.",0,1,0.9849932
1346,"הוא כפר בטענה שהחזיק בנשק שלא כדין או שירה בנשק אל עבר שוטרים, וכן כפר בטענה שזרק רעפים מגג ביתו אל עבר אנשי כוחות הביטחון על – מנת לפגוע בהם תוך שטען שבהיותו בהלם ובפחד זרק שלושה רעפים בכוונה להפחיד ולהרחיק את הסכנה שנשקפה לו.",0,1,0.98496664
2352,כתוצאה מהירי לעבר היושבים במתחם - נפגע יונס מקליעים באזור האגן והירך ונגרמו לו פצעי ירי ושבר ריסוק בעצם הזנב; כן נפגע מוחמד מקליעים באגן האחורי ונגרמו לו פצעי כניסה וכן שבר ריסוק במפרק הירך ובעצם הירך; כמו כן נפגע מואמן מקליע באגן משמאל אשר יצא מירך ימין מאחור וגרם לו לשבר ריסוק בעצם הזנב ופגיעה חבלתית ברקטום.,0,1,0.98488915
919,"מהדי הסכים, והודיע לנאשם שעליו לקחת  את תת המקלע מסמיר.",0,1,0.98480207
4633,בשלב זה ירה הנאשם מספר יריות באוויר מנשקו.,0,1,0.9846942
2522,"בהמשך לכך שאל הנאשם לדעתו של עמר בנוגע לרכישת שני ארגזי תחמושת M-16 במחיר 7,200 ₪ בציינו כי  ארגז מכיל 999 כדורים.",0,1,0.9846838
573,"ביום 9.3.22 בשעה 12:10 החזיק ונשא הנאשם על גופו בחצר הכניסה למפעל אקדח חצי אוטומטי D.D.G מודל 19 קליבר 9 מ""מ פרבלום.",0,1,0.9846586
917,"בהמשך, הגיע סמיר לשכונה, לקח ממהדי את תת המקלע והמחסנית , והובילם למקום מסתור, שם החזיק בהם כשבוע, כל זאת בלא רשות על פי דין.",0,1,0.9845948
