,sentence,true_label,predicted_label,probabilities
2072,"לגבי עבירת ההצתה – על אף השפעתו של ""אדם"" על הנאשם, לא ניתן להתעלם מכך שהנאשם הוא שהגיע לרכבו של המתלונן, הוא זה ששפך את הבנזין על הרכב, והוא זה שהצית את המכונית.",0,1,0.9985941
346,"באישום השלישי החזיק הנאשם אקדח שקיבל מאביו, בביתו של בן דודו בכפר עקב, וביום סיום הבגרויות לקח את האקדח וירה שמונה כדורים באוויר.",0,1,0.998589
4629,"יוער כי מכתב האישום שהוגש כנגד אחד החשודים ברצח אחיו של הנאשם, עולה כי חודשים ספורים לפני הרצח נעשה ניסיון קודם לרצוח את האח (גסוב), שעה שנורו לעברו 21 קליעים, בעודו במרכז הכפר ג'דידה.",0,1,0.9985587
3435,"השוטרים מיכאל זגורי וגאורגי רוסטומוב צעקו לעבר הנאשם שיעצור, אך הנאשם השליך את הנשק מגג המחסן, במקום שלא היה נגיש להגעה מידית של השוטרים, ומיד לאחר-מכן קפץ הנאשם מגג המחסן למקום אליו השליך את הנשק.",0,1,0.99852425
232,"במעשיו המתוארים לעיל הנאשם ייצר נשק; יידה אבן או חפץ אחר לעבר שוטר או לעבר כלי רכב משטרתי, במטרה להפריע לשוטר כשהוא ממלא את תפקידו כחוק או להכשילו בכך בשלוש הזדמנויות שונות, וניסה לשלח אש במזיד בדבר לא לו.",0,1,0.99851066
2605,"במקביל ובתיאום עם הנאשם לצורך מימוש הקשר, הגיע נאשם מס' 4 בסמוך לשעה 14:45, אל מקום ההברחה במטרה לקבל לידיו את הנשק.",0,1,0.9985006
353,"הנאשם אמנם שיתף פעולה עם צלאח, אך בפועל הוא לא זה שירה - צלאח ירד מהאופנוע, התרחק וירה לעבר החיילים כשמונה יריות.",0,1,0.99848455
221,"בליבו של הנאשם גמלה ההחלטה לגנוב את הקטנוע, ולאחר שחברו אמר כי אינו מעוניין להיות מעורב בכך ונסע מהמקום, הניע הנאשם את הקטנוע באמצעות חיבור החוטים ונסע עם הקטנוע מהמקום.",0,1,0.9984806
490,אחד השוטרים הזדהה בפניו כשוטר ומיד לאחר מכן קיס צעק לעבר הנאשם שהיה בבית שיזרוק דבר מה ולאחר מספר שניות יצאו הייתם ורמי מהבית ואחריהם הנאשם כשהוא נושא בידיו חפץ דימוי תת מקלע מאולתר על חלקיו השונים.,0,1,0.9984804
3254,"נשיאת אקדח היא פחות חמורה מהחזקת תת מקלע, אך במקרה זה מדובר בנשיאת אקדח עם כדור בקנה, המוכן לירי, תוך ניסיון להימלט.",0,1,0.9984767
12,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",0,1,0.9984731
2400,"נטען בהקשר זה כי הנאשם וג'אודת קשרו קשר לבצע מעשה מסוים נגד אנשים מסוימים, ובניגוד למה שסיכמו ביניהם, ג'אודת ירה לעבר המנוח,  כאשר אקט זה חרג מגדרי הקשר ולא היה מוסכם בין הצדדים.",0,1,0.9984707
1359,"דקות ספורות אחר – כך, לאחר שמספר שוטרים התקרבו והחלו לירות רימוני – גז מדמיע לעבר המתפרעים על – מנת לפזרם, ירה הנאשם באקדח כשהוא ישוב ברכב ממרחק של כמאה מטרים לעבר השוטרים, עשר יריות לפחות מתוך מניע לאומני – אידיאולוגי.",0,1,0.998466
83,"כתב האישום אינו מייחס לנאשם את השלכת הרימון, אך ניתן להסיק מהעובדה שמיד שהרימון הושלך והתפוצץ סמוך לאחר שהנאשם החזיק בו, שלמצער לא שמר עליו מפני שימוש בו לרעה.",0,1,0.99845386
491,"השוטר הבחין שהנאשם נושא תת מקלע וקרא לעברו ""משטרה, זרוק את הנשק""  אך הנאשם לא ציית עד שהשוטר ירה באוויר באקדחו ואז הוא זרק את הנשק ונמלט מאחורי הבית.",0,1,0.99845004
2656,"בנוסף עמדה המאשימה אגב טיעוניה, על גילו של הנאשם ועובדת היותו בגיר המבין היטב את אשר הוא עושה ואת הפסול שבמעשיו ויכולתו להימנע מביצוע המעשה בכל שלב, החל משלב קשירת הקשר ועד לנסיעתו למקום המסתור לקבלת כלי הנשק.",0,1,0.99844944
1331,"האישום הראשון עוסק בירי לעבר שוטרים תוך שימוש באקדח שאותו החזיק הנאשם שלא כחוק מזה זמן; המעשה בוצע בצומת עין-אברהים ובמהלכו נורו יריות לעבר שוטרים, שאיישו את הצומת.",0,1,0.9984425
401,"המעשים מלמדים על תכנון מוקדם, על פני מספר שעות, הנאשם חבר לאחר, מעשיהם כללו נסיעה להביא את הנשק, כשבכל אותו זמן, הייתה המטרה למצוא חיילים שניתן יהיה לפגוע בהם.",0,1,0.99843913
884,"נגישותו של הנאשם לכלי הנשק שבאה לידי ביטוי ביכולתו לפעול במהירות למימוש העסקאות מפניית האחרים אליו, מלמדים על מידת מעורבותו בעבירות סחר בנשק.",0,1,0.9984347
362,"לדברי ב""כ הנאשם, הסיכוי לפגיעה בירי ממרחק 250 מטר קלוש, והדבר מעיד על כוונה מאוד מרושלת.",0,1,0.99841106
2033,"הנאשם חשש שאותו אדם יפגע בו, וכדי ""לכסות את עצמו מפני אותו אדם"" חיבל במטען.",0,1,0.99840826
1075,"בהתייחסו בהרחבה לנסיבות הקשורות בביצוע העבירות, ביקש ב""כ הנאשם להתחשב לקולה בכך שהסכסוך שנתגלע בין הנאשם וג' לבין יונס ובורהום הוא תוצאה של מספר אירועים קודמים - ירי שבוצע מכיוון ביתו של בורהום לעבר ביתו של ג', שריפת הרכב של אחיו של ג' על ידי יונס ובורהום, וכן אירוע שאירע כשנתיים קודם לכן במהלכו ירו יונס ובורהום בראשם של שני כלבים של הנאשם בבית סבתו והרגו אותם.",0,1,0.9984079
1119,"עוד לא נעלמו מעינינו דברי הנאשם כי הירי שביצע לא כוון להמית אלא לגרום לחבלות לנוכחים, כי הוא ירה במנוח שנע לעברו כדי להרתיעו, ולא כיוון את האקדח לעבר איבר מאבריו החיוניים; ואולם, עניין זה נלקח בחשבון בשיקולי המאשימה עת הומר האישום בעבירת רצח לעבירת הריגה, ואין בו כדי להפחית מחומרת המעשים, אשר החלו בשימוש מכוון בנשק חם, הסתיימו בתוצאה הקטלנית של גדיעת פתיל חייו של המנוח - צעיר עובר אורח שנקלע למקום, ש""היה במקום הלא נכון ובזמן הלא נכון"", וגרמו לאסון כבד לבני משפחתו, השרויים באבל כבד וקשה מנשוא.",0,1,0.99840385
75,"הנאשם הורשע במסגרת הסדר טיעון בעבירות בנשק, בכך שהחזיק רימון הלם אשר בסמוך מאוד להחזקתו, הושלך לעבר מרפסת בית המתלונן, התפוצץ והשמיע קול נפץ עז.",0,1,0.9983923
1011,"עובר ליום 30/8/18, ועל רקע סכסוכיהם עם בורהום ויונס, קשרו הנאשם ו-ג' קשר לפיו הם יירו על בורהום, יונס וחבריהם (להלן: החבורה), וזאת בכוונה לגרום להם לחבלות חמורות, נכות או מום; על פי התכנון נקבע כי השניים ימתינו לזמן בו תמצא החבורה בתוך המתחם, ג' יתצפת וידריך את הנאשם אשר יבצע את הירי; בהתאם לתוכנית יירה הנאשם ראשית על עטיה עמאש (להלן: עטיה), אשר, על פי סברתם, מתצפת ושומר על החבורה, ולאחר מכן יכנס הנאשם ויירה על החבורה בתוך המתחם.",0,1,0.9983821
782,"בשעה 2:00 או בסמוך לכך זיהה הנאשם שלושה רכבים של כוחות הביטחון, ולאחר שהרכבים התקרבו, ירה לעברם חמישה כדורים.",0,1,0.9983784
349,"נטען שאין לנאשם עבר פלילי אך  התנהגותו מעידה על סיכון רב וחוסר מעצורים כאשר בחר לירות מנשק חם בשני אירועים, אחד מהם באיזור מגורים בו נמצאים מספר בני משפחה לצורך ישוב סכסוך עם המתלונן.",0,1,0.9983783
877,"אשר לנסיבות הקשורות בביצוע העבירה (סעיף 40 ט' לחוק), יש לתת את הדעת לשיקולים הבאים: מחד, עסקינן בעבירות שקדם להם תכנון המוקדם, באישום השני הנאשם לקח את הנשק מהמקום בו החביא אותו וחיפש מקום בו יעברו רכבים של כוחות הביטחון בכדי לירות עליהם וירה חמישה כדורים.",0,1,0.99837756
3736,"הנאשם 3 לקח את האקדח לחתונת אחיו ובמהלכה, בעת ליווי החתן ובמהלך הריקודים, השתמשו באקדחים.",0,1,0.9983725
4472,"הנאשם החל לרוץ במעלה רחוב באזור מגורים בעוד באסם ורשאד רצים אחריו, וירה מנשקו מספר יריות באוויר.",0,1,0.99837035
3831,בכתב האישום צוין כי הרימון הוא כלי נשק שבכוחו להזיק לאדם בעת פעולתו ואילו האקדח הוא כלי נשק שסוגל לירות כדור ובכוחו להמית אדם; המחסנית והתחמושת מהווים אביזרים לתחמושת לנשק כהגדרתם בחוק.,0,1,0.99836844
1794,כך שהיה בידי הנאשם סיפק להפנים ולכלכל משמעות מעשיו ולהסגיר הנשק לרשויות החוק (כפי שלדבריו - עשה בנשק אחר שנותר מאותו הדוד – אותו בחר למסור למשטרה).,0,1,0.99835736
80,"ב""כ המאשימה ביקש לזקוף לחובת הנאשם את נסיבות ההחזקה של הרימון, בלב אזור מגורים צפוף בשעת לילה מאוחרת, וכן את העובדה שנעשה בו שימוש זמן קצר לאחר מכן, משהושלך לעבר מרפסת בית המתלונן.",0,1,0.99835616
310,"באישום השני, מדובר בנטילת חלק במספר הזדמנויות בעימותים אלימים כנגד כוחות הביטחון – במרץ 2016, כאשר רכב צבאי נכנס בשוגג לקלנדיה ונעשו ניסיונות לחלצו, השתתף הנאשם בעימותים אלימים מול כוחות הביטחון ויידה אבנים לעברם ממרחק 20 מ'; באפריל 2016, במהלך הריסת ביתו של מחבל בקלנדיה, יידה הנאשם שלושה בקבוקי תבערה ממרחק 20 מטר לעבר כלי רכב של כוחות הביטחון; וביולי 2016, השתתף הנאשם בהתפרעויות אלימות נגד כוחות הביטחון בשער שכם, ויידה אבן ובקבוק מים לעבר כוחות הביטחון.",0,1,0.9983553
2159,"הנאשם ביצע את עבירת החבלה בכוונה מחמירה באמצעות ירי באקדח, שאותו נשא שלא כדין, באור יום, בביתו של המתלונן, לעיני כל ובנוכחות אנשים נוספים שיכלו לזהותו, כאשר אדם אחר מפריד ביניהם.",0,1,0.998351
332,נטען שאין מדובר בטעות בשיקול דעת או במעידה רגעית כאשר הנאשם הגיע במודע הן למקום העבודה והן לאחר מכן לבית המתלונן כאשר הוא מצוייד בנשק בו הוא עשה שימוש.,0,1,0.998348
157,"בהתייחס לכתב האישום, נטל הנאשם אחריות מלאה והביע חרטה על מעשיו שנבעו, לדבריו, מרצונו למנוע מקרובי משפחה להשתמש לרעה בנשק על רקע  הריגת דודו.",0,1,0.9983461
