,sentence,true_label,predicted_label,probabilities
4659,"ג.	פיצוי לנפגעי העבירה - כארם מועטי סך 6,000 ש""ח, מרים כיאל סך 6,000 ש""ח ומוחמד כיאל 2,000 ש""ח.",0,1,0.99999547
3201,"בהמשך, בשנת 2014, נדון ל-35 חודשי מאסר בפועל, כולל תנאי שהופעל, לאחר שהורשע פעם נוספת בגניבת רכב ובעבירות נלוות.",0,1,0.99999547
3219,"בתגובה לכך הניידת חסמה את הכביש בכיוון הגעת הרכב וכאשר הנאשם הבחין בכך, עצר את רכבו ונסע לאחור במהירות גבוהה כשהניידת דולקת אחריו.",0,1,0.99999547
1610,הסנגור טען כי הדברים אירעו בצורה ספונטאנית תוך כדי מריבה בין השניים.,0,1,0.99999547
3265,תסקיר שירות המבחן והראיות לעונש שהוגשו מצביעים על כך שמשפחתו היא נורמטיבית שתורמת לחברה במקצועות הרפואה.,0,1,0.99999547
1551,בעיקר ראוי להתחשב לחומרה בכך שהורשע בעבירת – נשק בשנת 2017 וריצה 15 חודשי מאסר בגין כך.,0,1,0.99999547
3343,"בנוסף, ירי באמצעות נשק באזור מגורים, אף אם הוא מכוון לאוויר ונועד להביע שמחה, יש בו כדי ליצור סיכון ממשי לפגיעה בחפים מפשע.",0,1,0.99999547
3373,"הכוח המשטרתי הבחין בנאשם שיצא ממתחם המגורים ורכב על אופניו במהירות, תוך שהוא מביט לצדדים בחשדנות.",0,1,0.99999547
1406,"כן עלה מהתדפיס שהוא הורשע בעבירות של פריצה לרכב, גניבת רכב וחבלה במזיד ברכב בשנת 2012 לעונש של מאסר על תנאי.",0,1,0.99999547
3541,"על אחי הנאשם-  נביל אגבריה, שהורשע בסיוע לשתי העסקאות המיוחסות לנאשם, הושתו 24 חודשי מאסר בפועל.",0,1,0.99999547
1260,"חלקו של הנאשם 1 הוא המרכזי שכן הוא היה זה שנשא את הנשק ברכבו, וחלקו של הנאשם 2 הוא בסיוע בנוכחותו ברכב.",0,1,0.99999547
3653,"מורה על חילוט 7,400 ₪ שנתפסו .",0,1,0.99999547
3666,"כמו כן, טען התובע שהנאשם מרצה כעת עונש מאסר בן 15 חודשים בגין ביצוע עבירות סמים.",0,1,0.99999547
3686,"במקרה שלפניי, לא הובררה עד תום סיבת החזקת הנשק וייעודו – האם להגנה עצמית, האם כאמצעי תקיפה, האם לצרכי סחר ומכירה, ולמי יועד.",0,1,0.99999547
1139,"לפיכך נגזרו על הנאשם 7 שנות מאסר, מאסר מותנה ופיצוי בסך 80,000 ₪ למשפחת המנוח.",0,1,0.99999547
1120,"בנסיבות אלה, הריגת המנוח היא החמורה מבין העבירות שביצע הנאשם ואינה נלווית לחבלות שגרם הנאשם בכוונה מחמירה לשלושה אחרים.",0,1,0.99999547
3730,הנאשם 2 השיב כי הוא תלוי באדם אחר לשם השלמת העסקה ואבו עבסה הציע שיגיע עוד באותו לילה כדי לרכוש את התחמושת.,0,1,0.99999547
3749,הנאשם 2 אמר שבתקופה זו הוא מוכר תחמושת תמורת סכום הנע בין סך 700 ₪ לסך 800 ₪.,0,1,0.99999547
3789,"עוד מתרשם שביצע את המעשה על רקע קיום קשרים חברתיים שוליים, צורך בגבריות וחיזוק בטחונו האישי.",0,1,0.99999547
3816,"התרשמתי לטובה אף מאביו ונראה כי עם שחרורו תסייע לו משפחתו לחזור לדרך הישר, בתקווה שיתרחק מגורמים שוליים.",0,1,0.99999547
983,"עוד אציין לקולה, כי הנאשם נשא את הנשק מבית אחד בכפר לבית אחר בו, ולא מעבר לכך, דבר המלמד, כטענת הסנגור, כי נסיבות ביצוע העבירה של נשיאת נשק שלא כדין אינן חמורות, שכן עסקינן, כאמור, בנשיאת הנשק על ידי הנאשם במשך פרק זמן קצר ובתוך כפרו בלבד.",0,1,0.99999547
930,הנאשם טען בפני שירות המבחן כי לאחרונה הפסיק את השימוש בסמים.,0,1,0.99999547
929,"עוד סיפר הנאשם לשירות המבחן, כי לאחר האירוע האלים שחווה, החל להשתמש בסמים לעיתים קרובות, זאת כדי לברוח מהתמודדות עם תחושותיו הקשות.",0,1,0.99999547
3972,"חילוט הרכב, מסוג שברולט ,Trailblazer מספר רישוי 8509761.",0,1,0.99999547
908,"עוד ציינה ב""כ המאשימה כי אין לה אינדיקציה בדבר המרחק בין הבית ממנו נשא הנאשם את הנשק לבית אליו הגיע עם הנשק, אף כי מדובר בבתים המצויים באותו כפר.",0,1,0.99999547
4013,"בעניין הבקשה לחילוט הרכב טען, כי בהסכמת המאשימה, הנאשם הפקיד סך 5,000 ₪ כנגד שחרור הרכב.",0,1,0.99999547
4014,"לטענתו, שווי הרכב הוא כ-13,000 ₪ וכי הנאשם מסכים לחילוט הסכום שהופקד חלף חילוט הרכב.",0,1,0.99999547
806,הנאשם שלל שימוש בחומרים פסיכו אקטיביים ומסר ששותה אלכוהול בנסיבות חברתיות בתדירות שבועית.,0,1,0.99999547
