,sentence,reject,CONFESSION,PUNISHMENT,CIRCUM_OFFENSE,GENERAL_CIRCUM,CIR_TYPE_WEP,CIR_HELD_WAY_WEP,CIR_AMMU_AMOUNT_WEP,CIR_PURPOSE,CIR_STATUS_WEP,REGRET,CIR_PLANNING,RESPO,CIR_OBTAIN_WAY_WEP,CIR_USE,CIR_MONEY_PAID_WEP
0,"בשם הנאשם: בעצמו וע""י ב""כ עו""ד רוני נוג'ידאת",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
1,"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
2,"* בית המשפט השית על הנאשם – ""בגיר צעיר"" בעת ביצוע העבירה שעניינה נשיאת והחזקת נשק, עונש של מאסר בפועל במשך 9 חודשים.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,
3,"נפסק, כי בנסיבות, יש למקם את העונש הראוי לנאשם בתוך מתחם העונש ההולם שנקבע, ברף הנמוך של מתחם העונש ההולם אך לא בצד הקיצון שבו.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
4,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
5,בית המשפט פסק כלהלן:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
6,"הערכים החברתיים המוגנים שנפגעו מביצוע העבירות שביצע הנאשם הם ביטחון המדינה, שלום וביטחון הציבור והסדר הציבורי.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
7,במקרים דומים הוטלו על נאשמים עונשי מאסר בפועל מאחורי סורג ובריח לתקופות משתנות.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
8,"במקרה זה, מתחם העונש ההולם נע במקרה דנן בין 7 חודשי מאסר בפועל, לבין 30 חודשי מאסר בפועל, בצירוף עונשים נלווים.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
9,"עסקינן במי שהוא ""בגיר – צעיר"" כהגדרת בית המשפט העליון בסוגיה זו, על ההשלכות הרוחביות הקמות מכך.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
10,"כנגד הנאשם הוגש לבית משפט זה כתב אישום, בו יוחסו לו במקור העבירות שעניינן, נשיאת נשק שלא כדין, החזקת נשק שלא כדין וירי באזור מגורים.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,
11,"עוד הוסכם, כי בטרם ישמעו טיעוני הצדדים לעונש ואף מפאת גילו של הנאשם במועד ביצוע העבירות, יתקבל תסקיר מאת שירות המבחן בעניינו של הנאשם ולאחר מכן, הצדדים יטענו באופן חופשי לעונש באשר לכל רכיבי הענישה.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
12,"במעמד זה הבהירה המאשימה, כי היא תעתור להשית על הנאשם עונש מאסר בפועל בהתאם לרמת הענישה הנהוגה, בעוד שהסניגור יטען באופן חופשי לעונש (הכל ביחד יקרא להלן: ""הסדר הטיעון"").",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
13,"נשיאת נשק שלא כדין - עבירה לפי סעיף 144(ב) רישא + סיפא לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין"").",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
14,החזקת נשק שלא כדין - עבירה לפי סעיף 144(א) רישא + סיפא לחוק העונשין.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
15,כן הוריתי על הגשת תסקיר מאת שירות המבחן בעניינו של הנאשם.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
16,"תסקיר, כאמור, כמו גם",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
17,"תסקירים משלימים, מונחים בפני.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
