,sentence,true_label,predicted_label,probabilities
1116,"לטענתו, כלי-הנשק אינו שלו והוא אינו יודע לומר מניין הגיע.",0,1,0.9791118
1134,"לדבריו, הוא נתפס עת ניסה להפקיד את הנשק  בידי חברו, על מנת שזה האחרון הוא שימסור את הנשק למשטרת ישראל.",0,1,0.9631888
1482,"כאשר מנהל בית הספר לא  אישר לארוסתו לצאת, לקח נשק שהיה בתוך הרכב, שגם הוא אינו שייך לו, וירה כמתואר.",0,1,0.9630021
784,"לאחר מכן החביא את האקדח בביתו, ובערב השיב לג'ודה את האקדח.",0,1,0.95838
450,"לדבריו, הוא ידע שברשותו כלי נשק ורכשם ממנו ואחסנם במטע הזיתים, לצורך תחושת בטחון.",0,1,0.9534439
1372,נכנס לרכב שאינו שלו ונסע במהירות לבית הספר.,0,1,0.94535345
264,"לא ברור מה גרם לו להחזיק בשני כלי נשק רבי עוצמה, אחד מהם לתקופה ממושכת.",0,1,0.94149137
424,"באותה העת החזיק הנאשם מתחת לשטיח שמתחת למושב אקדח חצי אוטומטי מסוג סטאר, וזאת כאשר הנאשם לא היה בעל רישיון להחזיק את הנשק.",0,1,0.93724835
1675,"לדבריו, עוד כשהשוטרים הגיעו לביתו הוא הוביל אותם אל הנשק ומסר להם אותו, וגם בבית המשפט הוא הודה בהזדמנות הראשונה.",0,1,0.9351936
1115,"הוא טען, כי תוך כדי ביצוע עבודתו כמחלק עיתונים מצא תיק ובעזרתו סחב את העיתונים.",0,1,0.93511665
973,"עוד טען, כי בפעם השנייה שביצעו את הגניבה חש מפוחד וסירב לעשות זאת פעם נוספת.",0,1,0.93440473
1371,תיאר כי ארוסתו התקשרה אליו ומסרה לו שמנהל בית הספר ניסה לפגוע בה ובעקבות כך חש סערת רגשות קיצונית והתקשה לשלוט בכעסו.,0,1,0.9338869
789,"לגבי הרובה שהחזיק הנאשם, טען כי הרובה לא היה של הנאשם, והוא התבקש על ידי אחר להסתירו בביתו.",0,1,0.93111026
1646,"הנאשם הביא את הנשק והתחמושת שרכש לביתו בעזריה, והחביא אותם תחת מרצפה רופפת בחלון המטבח.",1,0,0.90486306
1058,"הוא השתתף בכל אחת מההתפרצויות לבסיס, בגניבת הפגזים, הוצאתם מהבסיס הצבאי, הובלתם למקום מסתור והטיפול בהם.",1,0,0.89399034
791,"באישום השלישי החזיק הנאשם אקדח שקיבל מאביו, בביתו של בן דודו בכפר עקב, וביום סיום הבגרויות לקח את האקדח וירה שמונה כדורים באוויר.",1,0,0.8876131
