,sentence,true_label,predicted_label,probabilities
621,"ב""כ הנאשם ציין כי שירות המבחן התרשם ממוטיבציה של הנאשם לשינוי, ועמד על הצורך לשלבו בהליך שיקום.",0,1,0.96312493
1548,"שירות המבחן התרשם מהנאשם, כמי שמתקשה בהתבוננות מעמיקה באשר לגורמים שהביאוהו להסבתך בעבירות ואינו מאפשר לבחון את העומד בבסיס בחירותיו והתנהלותו.",0,1,0.961217
259,"כאמור, שירות המבחן התרשם בתסקירו כי מדובר במי שאינו מתאפיין בדפוסים עברייניים מושרשים, אלא באדם בעל יכולת טובה לתפקוד יציב וחיובי.",0,1,0.95537716
1550,שירות המבחן התרשם מהתיחסות מצמצמת ביחס לעבירות שעבר הנאשם ומעמימות באופן בו שיתף הנאשם בכל הנוגע למערכת קשריו החברתיים ולבחירותיו.,0,1,0.95465785
1339,"שרות המבחן התרשם כי מדובר במי שמתקשה להפנים ולקבל את גבולות החוק, במי שלוקה בכישורי חיים מיטיבים, ובמי שקיימת בעניינו נזקקות טיפולית גבוהה.",0,1,0.95249045
96,"נהפוך הוא, קצינת המבחן התרשמה כי הנאשם ניחן בתפיסת עולם ובעמדות המצביעות על הסתייגות והתנגדות לשימוש באלימות כלפי האחר.",0,1,0.9521287
518,בפני שירות המבחן הביע הנאשם חרטה ואת ההבנה שמעשיו היו פסולים וכי היה עליו לפנות למשטרה לצורך הגנה.,0,1,0.9509032
258,"בגזירת העונש הבאתי בחשבון אף את האמור בתסקיר שירות המבחן, ובכלל זאת את שיתוף הפעולה שגילה הנאשם עם גורמי המבחן ועם תוכניות הטיפול שהותוו עבורו.",0,1,0.9460234
313,קצינת המבחן ציינה כי הנאשם הביע בפניה צער אודות התנהגותו כלפי בני משפחת המתלוננים וגילה אמפתיה ראשונית לחוויית החרדה שחוו.,0,1,0.9450394
119,"שירות המבחן הבין את ביצוע העבירה על רקע מצוקה, חשש ואיום שחש לחייו וחיי משפחתו, תוך חזרה לדפוסי חשיבה והתנהגות שוליים המוכרים לו מהעבר, וכן שהתקשה לשקול את חומרת התנהגותו והשלכותיה.",0,1,0.9421986
118,"הערכת שירות המבחן היתה, כי מעת שחרורו ממאסרו האחרון ועד לביצוע העבירה הנוכחית, הנאשם השקיע מאמצים רבים לתפקד באופן תקין ולהימנע ממעורבות שולית.",0,1,0.9420038
213,"נמסר כי הנאשם שיתף פעולה עם תוכנית הטיפול באופן מלא, שיתף בעולמו הרגשי, התבונן על דפוסי התנהגותו הפסולים באופן ביקורתי ומעמיק, גילה מעורבות גבוהה בתהליך הקבוצתי ובלט לחיוב ביכולותיו הקוגניטיביות והרגשיות הגבוהות.",0,1,0.94176996
1164,"שירות המבחן הפנה לתסקיר שערך במסגרת תיק המעצר, אז התרשם כי הנאשם מתקשה לבחון באופן מעמיק וביקורתי את התנהלותו המכשילה ואת דפוסי חשיבתו, והעריך כי רמת הסיכון להישנות עבירות דומות הינה בינונית-גבוהה.",0,1,0.94174147
126,"הנאשם ביטא בפני שירות המבחן רצון וצורך להירתם להליך הטיפולי, במטרה להעמיק ולבחון השפעתם של דפוסי החשיבה וההתנהגות הבעייתיים שפיתח ואימץ לאורך השנים על חייו כיום, כפי שהדבר בא לידי ביטוי אף במעורבותו נושא הדיון.",0,1,0.940508
1549,"שירות המבחן התרשם מפער בין התדמית, שביקש הנאשם להציג לבין קשייו בעריכת תהליך חשבון נפש ובהתבוננות עצמית ביקורתית.",0,1,0.937584
1290,"שירות המבחן ציין כי משיחה עם הנאשם בנוגע להרשעותיו הקודמות, עולה כי עמדותיו מצמצמות מהיקף אחריותו.",0,1,0.937381
260,כן התרשם שירות המבחן מיכולתו של הנאשם להפיק תועלת ולהיתרם מקשר טיפולי ומיכולתו להתחבר מבחינה רגשית לחומרתם של מעשיו ולהשלכותיהם.,0,1,0.9373318
461,"בבואו לגבש הערכת סיכון לפריצת גבולות מצידו של הנאשם, הביא שירות המבחן בחשבון את תפקודו התעסוקתי היציב ויחסיו המשפחתיים התקינים.",0,1,0.9367786
1166,"מהשיחה עמו, התרשמה קצינת המבחן כי הנאשם הינו בעל אישיות לא מגובשת ולא בוגרת המתאפיינת בדימוי עצמי נמוך ורצון להשתייך ולבסס את מעמדו החברתי, במיוחד במקרים בהם מופעל עליו לחץ ע""י הסובבים להוכחת דימוי גברי.",0,1,0.93497854
1294,"קצינת המבחן הפנתה לכך שהתייחסותו של הנאשם לעבירות נשוא הדיון, כמו גם לעברו הפלילי, אופיינה בהשלכות ובמזעור.",0,1,0.93443334
210,"על רקע פערים אלה, התקשה שירות המבחן להעריך את הסיכון הנשקף מהתנהגותו, אם כי התרשם שאינו מתאפיין בדפוסי עבריינות מושרשים וכי מדובר באדם שהצליח להסתגל למסגרות חברתיות שונות.",0,1,0.93387866
127,"שירות המבחן מצא, כי נוכח השינוי בעמדתו ותפיסתו הקודמת את מצבו, הנאשם מתאים להשתלב בקבוצה טיפולית לעוברי חוק המתקיימת בשירות, שמטרתה לסייע למשתתפים בה בבדיקה ושינוי של דפוסי חשיבה והתנהגות בעייתיים, תוך זיהוי מצבי סיכון ורכישת כלים להתמודדות אפקטיבית עם משברים, ללא התנהגות שולים.",0,1,0.9334287
124,"בעדכון מאת שירות המבחן (מיום 31.1.17) נכתב, כי הנאשם יצר קשר עם שירות המבחן וביקש להיעזר בשירותו לצורך הליך טיפולי.",0,1,0.9310352
316,"שירות המבחן העריך על סמך גורמי הסיכון והסיכוי, כפי שפורטו בתסקיר כי רמת הסיכון הנשקפת מן הנאשם הינה בינונית ברמת חומרה גבוהה להישנות התנהגות אלימה.",0,1,0.93086725
120,"שירות המבחן בחן את האפשרות לשלב את הנאשם במסגרת טיפול בשירות, אך תחילה הנאשם שלל אפשרות זאת, תוך שהדגיש את תפקודו התקין, השקעת משאביו במסגרת עבודתו ובמסגרת המשפחתית.",0,1,0.9288633
1389,הפנתה לנתונים המפורטים בתסקיר ולהתרשמות שירות המבחן מהנאשם.,0,1,0.92800057
1552,"במסגרת הערכת שירות המבחן, השתלב הנאשם במספר קבוצות טיפוליות, אך גם אז, התקשה לבחון מעשיו באופן ביקורתי.",0,1,0.9271243
472,"הוריו של הנאשם מתגוררים בלוד, והנאשם תיאר בפני שירות המבחן כי המעבר ללוד טמן בחובו קשיים משפחתיים, חברתיים וכלכליים, כאשר הוריו התקשו לספק לו ולתשעת אחיו הקטנים ממנו, מענים חומריים ורגשיים או להציב עבורם גבולות.",0,1,0.926534
1551,"שירות המבחן המליץ לדחות את הדיון, על מנת לנסות  ולהתחקות אחר מניעיו של הנאשם העומדים בבסיס העבירות ואולם, גם לאחר תקופת דחיה מצא, כי הנאשם מתקשה לבחון את פוטנציאל הפגיעה כתוצאה ממעשיו, מתאר הדברים בצורה שטחית ואת הסתבכותו בעבירות כמקרית.",0,1,0.9257013
1677,"הוסף לאמור, הנאשם שינה את גרסותיו בשירות המבחן, כאשר תחילה מסר, כי אחרים בלתי ידועים הניחו את כלי הנשק ברכבו ורק בשלב מאוחר יותר עלתה גרסתו זו, כאשר  שירות המבחן למבוגרים אף מצא לציין, כי הנאשם נוקט בעמדה מצמצמת וכי לא עלה בידו להתחקות אחר מניעיו לעבירות.",0,1,0.92398727
146,"ב""כ הנאשם גם הדגיש, את המהפך שמרשו ביצע בחייו, העובדה כי בעבר היו בעניינו תסקירים שליליים, בעוד שהתסקיר האחרון היה חיובי, וכי היה זה שירות המבחן שעדכן מיוזמתו את בית המשפט בנכונות הנאשם להיכנס להליך טיפולי.",0,1,0.9234913
319,"סיכומו של דבר, לאחר ששקל, כאמור, שירות המבחן את גורמי הסיכוי (כמו הודאת הנאשם בעבירות המיוחסות לו, נכונותו לשתף פעולה עם גורמי הטיפול) אל מול גורמי הסיכון (ביצוען של העבירות, מסוכנות בינונית וסיכון גבוה להישנות התנהגות אלימה), נמנע שירות המבחן ממתן המלצה טיפולית, מחוץ לכתלי הכלא.",0,1,0.9227016
985,"הפנה להתרשמות שירות המבחן לפיה להליכים המשפטיים המתנהלים נגד הנאשם, הריחוק ממשפחתו ולחשש מפני הענישה הצפויה לו, ישנו אפקט הרתעתי משמעותי עבורו.",0,1,0.92147136
