,sentence,true_label,predicted_label,probabilities
1085,שירות המבחן התרשם מהתיחסות מצמצמת ביחס לעבירות שעבר הנאשם ומעמימות באופן בו שיתף הנאשם בכל הנוגע למערכת קשריו החברתיים ולבחירותיו.,0.0,1,0.99806076
838,"צוין כי הנאשם אמנם התקשה להתחבר לרגשותיו שהיו ברקע לבחירותיו והתנהלותו, אך יחד עם זאת ביטא תחושות של צער וחרטה נוכח האירועים שהובילו למעורבותו בפלילים.",0.0,1,0.9976776
203,"סיכומו של דבר, לאחר ששקל, כאמור, שירות המבחן את גורמי הסיכוי (כמו הודאת הנאשם בעבירות המיוחסות לו, נכונותו לשתף פעולה עם גורמי הטיפול) אל מול גורמי הסיכון (ביצוען של העבירות, מסוכנות בינונית וסיכון גבוה להישנות התנהגות אלימה), נמנע שירות המבחן ממתן המלצה טיפולית, מחוץ לכתלי הכלא.",0.0,1,0.9976597
471,"באשר לנסיבות ביצוע העבירה, ציין ב""כ המאשימה את חלקו הבלעדי של הנאשם בביצועה, תוך ששב והדגיש את הנזק והסיכון הטמונים בעבירה בנשק.",0.0,1,0.9974285
1235,"שירות המבחן התרשם מנאשם שאינו בעל דפוסים עבריינים, המביע חרטה וצער על מעשיו ואינו צופה מעורבות חוזרת של הנאשם בהתנהלות פורצת חוק.",0.0,1,0.9972861
42,"עוד ראוי לציין את חלקו היחסי של הנאשם בביצוע העבירות, שעה שהעבירות בוצעו במלואן ע""י הנאשם והוא אחראי באופן מלא לתוצאותיהן.",0.0,1,0.997157
234,"עוד עומדת לזכותו של הנאשם הודאתו במיוחס לו,  הודאה שניתנה אמנם בשלב מתקדם יחסית של ההליך, אך משקפת את נכונותו להכיר בחטאיו והיא תרמה  לחיסכון בזמן שיפוטי ובזמנם של העדים שטרם העידו.",0.0,1,0.99714845
146,"מה גם, לא היה בידי שירות המבחן לבוא בהמלצה טיפולית בעניינו של הנאשם תחילה  בשל הכחשתו את ביצוע העבירה ובהמשך בשל התנגדותו להתערבות טיפולית.",0.0,1,0.9967963
229,"על כך הוסיפה הסנגורית כי מדובר בעבירות ישנות בהן הודה הנאשם עוד בחקירתו, במהלכה שיתף פעולה באופן מלא עם הגורמים הביטחוניים והסביר סיבותיו לביצוע העבירות.",0.0,1,0.996418
825,"במסגרת זאת, לקחתי בחשבון את גילו הצעיר של הנאשם, היעדר העבר הפלילי, את הודאתו בביצוע העבירה והחיסכון בזמן שיפוטי.",0.0,1,0.9963397
1084,"שירות המבחן התרשם מהנאשם, כמי שמתקשה בהתבוננות מעמיקה באשר לגורמים שהביאוהו להסבתך בעבירות ואינו מאפשר לבחון את העומד בבסיס בחירותיו והתנהלותו.",0.0,1,0.9962913
1249,"משמע לכאורה עסקינן בנאשם אשר חרף היותו נעדר עבר פלילי, הדעת נותנת כי יש לו מעורבות פלילית ואפשרי שמעורבותו הפלילית היא מתוך תחושת מחויבות ורצון להשתייכות וחשיפה לחברה שולית, כפי שעולה מתסקיר שרות המבחן.",0.0,1,0.9956792
278,הוא הביע חרטה על התנהלותו וניכר כי השלים עם העובדה כי בגין התנהגותו יידרש לשאת תקופת מאסר.,0.0,1,0.995552
944,שירות המבחן התרשם כי מדובר באדם בעל יכולת הסתגלות ויציבות במסגרות ומגלה מידת אחריות לתפקידים אותם לקח בחייו.,0.0,1,0.9953454
260,התרשם שירות המבחן מאדם אשר מנהל אורח חיים שולי ומתקשה לקחת אחריות על הדרך הבעייתית בה ניהל את חייו.,0.0,1,0.9952632
208,"המאשימה מפנה להערכת שירות המבחן בדבר מידת הסיכון להישנות העבירות – סיכון בינוני – גבוה, אלא אם יקבל הנאשם טיפול, ולעובדה כי שירות המבחן נמנע ממתן המלצה בעניינו.",0.0,1,0.9950212
980,"באשר לנסיבות שאינן קשורות בביצוע העבירה צוין חיסכון הזמן שמתלווה להודאה, ולעומת זאת היות הנאשם בגיר, והעובדה שלא קדמה למעשיו מצוקה נפשית או התגרות כזו או אחרת.",0.0,1,0.9948913
49,"באתי למסקנה זו, נוכח מקבץ הנסיבות שפורטו לעיל ומבלי שניתן להתעלם מהאמור בתסקיר הראשון שהוגש בעניינו של הנאשם וההמלצה המובאת בסופו, כמו גם הערכת הסיכון כצופה פני עתיד והעובדה, כי גם בתסקיר המשלים והעדכני, עניין לנו אך בניצניו של שינוי והאמירות הסקפטיות שהובאו בהקשר זה.",0.0,1,0.99460286
