,sentence,true_label,predicted_label,probabilities
836,"נגזר עליו מאסר בפועל למשך 12 חודשים ומאסרים על-תנאי למשך 3 שנים ופיצוי לנפגע בסך 4,000 ₪.",0,1,0.99365
1502,"במקרה שם הוטל על הנאשם עונש מאסר למשך 7 חודשים בניכוי ימי מעצרו, עונשים מותנים, וקנס כספי בסך של 1,000 ₪.",0,1,0.9930871
1500,"על הנאשמת הוטל עונש מאסר על תנאי, קנס כספי בסך של 1,000 ₪ וצו מבחן למשך שנה.",0,1,0.9927625
1533,על הנאשם הוטל עונש מאסר למשך 6 חודשים לריצוי על דרך של עבודות שירות ועונשים נלווים.,0,1,0.99259275
736,הוטלו 3 שנים ו- 4 חודשים מאסר בפועל.,0,1,0.99238706
1505,"כבוד בית המשפט הטיל על הנאשם עונש מאסר בפועל למשך 8 חודשים, עונש מותנה וקנס כספי בסך של 3,600 ₪.",0,1,0.992295
1539,על הנאשם הוטל עונש מאסר למשך 10 חודשים בניכוי ימי מעצרו ועונשים,0,1,0.99217755
1507,"כבוד בית המשפט הטיל על הנאשם 22 חודשי מאסר, 11 חודשים מתוכם לריצוי בפועל והיתר על תנאי, מיום מעצרו ועונש מאסר על תנאי.",0,1,0.991999
1509,"כבוד בית המשפט הטיל על הנאשם עונשי מאסר מותנים וקנס כספי בסך של 3,500 ₪.",0,1,0.9919354
756,הוטל עליו מאסר בפועל למשך 12 חודשים.,0,1,0.9919035
988,"ניתן עונש של 5.5 שנות מאסר, מאסר מותנה וקנס.",0,1,0.99183345
437,הודעה זכות ערעור לבית-המשפט העליון תוך 45 ימים.,0,1,0.9918161
1498,על כל אחד מהנאשמים הוטל עונש מאסר למשך 6 חודשי שירוצה על דרך של עבודות שירות ועונש מאסר על תנאי.,0,1,0.9914465
1536,על הנאשם הוטל עונש מאסר למשך 19 חודשים מיום מעצרו ועונשים נלווים.,0,1,0.99135756
1580,"הנאשם יתייצב למאסרו בבית סוהר הדרים ביום 15.8.17, עד השעה  10:00, כשברשותו תעודת זהות או דרכון אלא אם כבוד בית המשפט המחוזי יחליט אחרת.",0,1,0.9904557
1128,על הנאשם הוטל מאסר בפועל למשך 12 חודש ומאסר מותנה.,0,1,0.99041474
233,הנאשם יתייצב לריצוי עונשו ביום 15.12.16 שעה 9:00 בבית מעצר קישון כשברשותו תעודה מזהה.,0,1,0.99039114
835,"בגין אלו הוטלו עליו מאסר על תנאי, קנס והתחייבות להימנע מעבירה.",0,1,0.99036753
398,"הנאשם הנדון יתייצב למאסרו בבית מעצר קישון עד ליום 16.4.17 בשעה 10:00, או על פי החלטת שב""ס, כשברשותו תעודת זהות או דרכון.",0,1,0.9903384
1538,10 ל- 24 חודשי מאסר.,0,1,0.99002063
455,"בסך הכל ביקש להטיל על הנאשם עונש של חמש שנים ושמונה חודשי מאסר, קנס ופיצוי למתלונן בתיק הגניבה.",0,1,0.98992693
1415,זכות ערעור לבית המשפט המחוזי בירושלים בתוך 45 יום מהיום.,0,1,0.98908854
401,זכות ערעור תוך 45 ימים.,0,1,0.989005
1414,הנאשם לא ירצה עונש זה אלא אם יעבור בתוך שנתיים מיום שחרורו על העבירה בה הורשע.,0,1,0.9888044
1575,הודעה זכות ערעור בתוך  45 יום מהיום.,0,1,0.9884779
1167,"כמו כן, נתקבלה תמורה של 24,000 ₪ כאשר הנאשם קיבל סך של 1,000 ₪.",0,1,0.9882337
1305,זכות ערעור תוך 45 יום.,0,1,0.98814
6,"במכלול השיקולים והנסיבות, הוטלו על הנאשם 9 חודשי מאסר בפועל ו- 15 חודשי מאסר על תנאי .",0,1,0.9878891
99,זכות ערעור לבית המשפט העליון תוך 45 יום.,0,1,0.9878369
537,"הקנס ישולם ב-4 תשלומים חודשיים, תשלום ראשון בעוד חודש.",0,1,0.98762405
1585,"הנאשם יחתום על התחיבות עצמית נוספת על סך של 10,000 ₪ להבטחת התייצבותו לריצוי עונשו.",0,1,0.9870444
161,"5129371זכות ערעור תוך 45 ימים מהיום לבית המשפט העליון, הודעה לנאשם.",0,1,0.9854193
682,זכות ערעור תוך 45 יום לבית המשפט העליון.,0,1,0.98448455
1514,כבוד בית המשפט המחוזי גזר על הנאשם עונש מאסר ל- 6 חודשים אשר נקבע כי ירוצה על דרך של עבודות שירות ועונשים נלווים.,0,1,0.98447
684,"חוק העונשין, תשל""ז-1977: סע'  144(ב), 499(א)(1)",0,1,0.98335254
0,"חוק העונשין, תשל""ז-1977: סע'  144 (א), 329(5), 40יא",0,1,0.98269135
540,זכות ערעור תוך 45 יום מהיום לבית המשפט העליון.,0,1,0.97902894
1037,זכות ערעור לבית המשפט העליון תוך ארבעים וחמישה יום.,0,1,0.9784048
711,"חוק העונשין, תשל""ז-1977: סע'  144(ב), 450, 452",0,1,0.9783343
74,"חוק העונשין, תשל""ז-1977: סע'  144(א), (ב)",0,1,0.9748462
1377,"חוק העונשין, תשל""ז-1977: סע'  40ד, 40ט, 144(א), 40יא, 40יג",0,1,0.97033656
103,"חוק העונשין, תשל""ז-1977: סע'  144 (ב), 40יא",0,1,0.96694785
979,כן יש להשית על הנאשם מאסר על תנאי וקנס כספי.,0,1,0.96666694
1152,"(ד) אני נעתר לבקשת התביעה ומורה על חילוט אופנועו של הנאשם, מסוג קואנג יאנג טיו מ.ר.",1,0,0.09266039
813,"לאחר ששקלתי, כאמור, את הנסיבות שאינן קשורות בביצוע העבירה, הגעתי לכלל מסקנה כי מן הראוי להשית על הנאשם בתיק זה עונש של 16 חודשי מאסר בפועל, בצד רכיב ענישה של מאסר מותנה משמעותי ומרתיע.",1,0,0.018660532
