,sentence,true_label,predicted_label,probabilities
8,"בכוחו של הרימון היה להזיק לאדם ולגרום לו פגיעה גופנית בעת פעולתו, בכפוף לקרבה של אותו אדם למוקד פעולת הרימון.",0,1,1.0
1135,"קודם למעצרו, עבד במשך כחמש-עשרה שנה בעסק שלו להפעלת אירועים, הכולל התקנת במות וציוד נלווה, אך מאז מעצרו ובשל היותו נתון במעצר כבר כשמונה חודשים, העסק קרס.",0,1,1.0
1319,"כאשר מנהל בית הספר לא  אישר לארוסתו לצאת, לקח נשק שהיה בתוך הרכב, שגם הוא אינו שייך לו, וירה כמתואר.",0,1,1.0
1312,"להשלמת התמונה יצוין, כי בעובדות כתב האישום שהנאשם הודה בהן, מתואר, שמספר כדורי 9 מ""מ שהנאשם ירה פגעו ברכב המנהל וכדור אחד חדר למבנה ופגע בארון.",0,1,1.0
1310,"על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירות נשק (החזקה ונשיאת נשק ותחמושת), לפי סעיף 144(א) ו - (ב) רישא וסיפא בחוק העונשין התשל""ז – 1977 (להלן: ""חוק העונשין""); ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה'",0,1,1.0
1275,"צורת הירי וכיוונו, וטיב התחמושת שנורתה, יצרו סכנה ממשית לפגיעה בחיי אדם.",0,1,1.0
1274,"בפועל, בעת הירי, נכחו במבנה אליו חדר אחד הכדורים שלושה אנשים, וגם בחצר בית הספר היו אנשים.",0,1,1.0
1252,"הסכנה שבירי של מספר רב של כדורים, מנשק בקוטר 9 מ""מ, מטווח קצר, לכיוון מקום בו עלולים להימצא בני אדם, מזעזעת בחומרתה.",0,1,1.0
1184,"הסנגורית סברה כי מתחם העונש ההולם צריך לנוע בין 12 חודשי מאסר ל- 24 חודשי מאסר, וזאת בהינתן כלל הנסיבות, לרבות העובדה כי מדובר באקדח תקול.",0,1,1.0
1173,"על-פי עובדות כתב האישום, ביום 6.7.20 בשעה 18:30 או בסמוך לכך, נסע הנאשם ברחוב דב הוז בחולון כשהוא מורכב על קטנוע הנהוג על-ידי שי הררי.",0,1,1.0
1146,הסנגור סקר את הנסיבות הקשורות בביצוע עבירתו של הנאשם והדגיש: אין ראיות לכך שמדובר בעבירה מתוכננת; לא נגרם כל נזק כתוצאה ממנה; ובהעדר תחמושת גם לא היה סיכון ממשי הנובע מהמעשה.,0,1,1.0
1074,מידת הפגיעה בערכים הללו הניבטת ממעשה של נשיאת כלי-נשק אוטומטי (חמוש במחסנית) היא ממשית ומשמעותית.,0,1,1.0
1425,"(להלן: ""החוק""), החזקת אביזר נשק או תחמושת שלא כדין, עבירה לפי סעיף 144 (א) סיפא לחוק, (3 עבירות), והחזקת סמים לצריכה עצמית, עבירה לפי סעיפים 7 (א) ו- 7 (ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש]  תשל""ג – 1973 (להלן: ""הפקודה"").",0,1,1.0
969,"באשר לנזק הצפוי מהעבירה הוסיפה, כי כפי שנקבע פעמים רבות, לנשק יש פוטנציאל נזק רב, בעיקר בשל כך שלא ניתן לדעת לאן יתגלגל ומה ייעשה בו.",0,1,1.0
884,ולאחר מספר דקות שב אל הרכב ומסר את השקית הלבנה ותכולתה לידי הסוכן.,0,1,1.0
880,"למחרת, עדכן הנאשם את הסוכן כי מחירו של האקדח הוא 30,000 ₪.",0,1,1.0
850,"הוא הדגיש, שבמקרים שהציג, ובהם הוטלו עונשים לריצוי מאחורי סורג ובריח נלוו להחזקת הנשק ונשיאתו עבירות נלוות חמורות, כגון ביצוע ירי וגרימת נזק לרכוש, או כאשר מדובר היה בנשיאה של יותר מכלי-נשק אחד בלוויית תחמושת חיה.",0,1,1.0
