,sentence,true_label,predicted_label,probabilities
1654,"הרי לא יכולה להיות מחלוקת, כי אין בכך בבחינת הצדקה לאחזקה של כלי נשק בלתי חוקיים, ואין צורך להכביר מילים, על סכנת הפגיעה באזרחים חפים מפשע כתוצאה מירי בלתי מבוקר, גם אם הירי היה באירוע משמח.",0,1,0.99828666
1433,"הסכנה שבירי של מספר רב של כדורים, מנשק בקוטר 9 מ""מ, מטווח קצר, לכיוון מקום בו עלולים להימצא בני אדם, מזעזעת בחומרתה.",0,1,0.9982582
1455,"בפועל, בעת הירי, נכחו במבנה אליו חדר אחד הכדורים שלושה אנשים, וגם בחצר בית הספר היו אנשים.",0,1,0.9982064
1127,"בהמשך לכך וכדי להוציא לפועל את העסקה, ביקש סאמי שהנאשם יסיע אותו לשכם כדי להביא את הנשק.",0,1,0.9981797
456,"הסנגור הדגיש כי טענות הנאשם, שהתכוון להעביר את הנשק למשטרה וכי נשיאת הנשק הייתה לזמן קצר מאוד, לא נבדקו ולא אומתו.",0,1,0.9981602
1458,"מעבר לכך, ירי באמצע היום, בלב ישוב, בסביבת בית ספר ומגורים, מכניס פחד ודאגה בלב האנשים ופוגע בשלוות הנפש של הציבור.",0,1,0.9981534
36,"באשר לנסיבות הקשורות בביצוע העבירות ציינה המאשימה, כי הנאשם לא ""נקלע"" לאירוע בו החזיק בנשק באופן רגעי וספונטני.",0,1,0.9981446
1089,"בשלושת האישומים הנשק של אג'ג' הועבר לסוכן, אמנם בתיווכו של הנאשם, אך לא ניתן לראות את איש הקשר בעסקה כמי שמספק את הנשקים.",0,1,0.99814105
676,"החזקת כלי הנשק בהם עשה הנאשם שימוש אינה יכולה להיות ""תמימה"", והשגתם נעשית באמצעים בלתי חוקיים ומחייבת קשר עם גורמים מהם ניתן לקבל את הנשק.",0,1,0.99811906
1456,"צורת הירי וכיוונו, וטיב התחמושת שנורתה, יצרו סכנה ממשית לפגיעה בחיי אדם.",0,1,0.998116
512,"נאמר כי אלמלא מסר הנאשם את הנשק לידיהם, לא היו מגיעים החוקרים אל הנשק שהיה מוטמן בשדה שנים רבות ללא שימוש.",0,1,0.99811506
852,"בהמשך, עאיש יצר קשר עם סוחר ברזל, אשר רכש את חלקי הפגזים.",0,1,0.99809736
1069,הנאשם המשיך בנסיעה אשר במהלכה ירה הסוכן 3 כדורים דרך חלון הרכב.,0,1,0.99809426
1095,"הנאשם לא החזיק נשק אצלו, הנאשם הוא לא זה שהעביר את הנשק לסוכן.",0,1,0.9980903
82,"עוד ציין הנאשם, כי הוא חש שנעשה לו עוול היות והאנשים בני החמולה השנייה, החזיקו בנשק ואף ירו בו, אולם רק הוא נעצר.",0,1,0.99807703
1087,"ב""כ הנאשם ציין כי בשלושת האישומים, הנאשם אינו בעל הנשק הוא היווה רק את חוליית הקשר בין הסוכן למוכר.",0,1,0.99806994
677,"הסכנה הנשקפת כתוצאה משימוש בנשק היא חמורה וברורה, ועלולה לגרום לנזק משמעותי ואף לקיפוח חיי אדם, הן מחוסר זהירות והן, על אחת כמה וכמה, תוך שימוש מכוון בו.",0,1,0.9980683
470,מדובר בכלי נשק שמסוגל לירות כדור שבכוחו להמית אדם.,0,1,0.99806446
457,"לטענת ב""כ הנאשם, בנשק לא נעשה כל שימוש ולא בוצעו בו כל עבירות פליליות, למעט עצם נשיאתו, ולכן לא נגרם כל נזק רכושי או גופני.",0,1,0.9980636
704,הנאשם לא ידע להסביר בפני שירות המבחן לאיזו מטרה החזיק בנשק.,0,1,0.99805814
871,"מנגד, ציינה כי הנאשם ברח לאחר ששותפיו נעצרו, וטענה להרס האמל""ח שנגנב ולחוסר היכולת של צה""ל להשתמש בו.",0,1,0.99805415
436,"לדבריו, ברחו מהשוטרים נוכח העובדה כי שותפו לביצוע העבירה נהג ללא רישיון ולא בשל הנשק.",0,1,0.99804664
37,"באשר לנזק שנגרם מביצוע העבירות, טוענת המאשימה, כי נשק המוחזק שלא כדין ומובל בחוצות העיר, פוגע בביטחון הציבור ומסכן אותו.",0,1,0.998044
1023,"לדבריו, הוא נתפס עת ניסה להפקיד את הנשק  בידי חברו, על מנת שזה האחרון הוא שימסור את הנשק למשטרת ישראל.",0,1,0.99803954
1173,"זאת בשונה מהנסיבות בעניין הנאשם הנדון, שלפיהן כלל לא שולם דבר ואף לא הספיקו לנסוע להביא את הנשק.",0,1,0.99802077
1172,"שכן, באותו עניין כבר שולמה התמורה עבור הנשק, אך הנאשם נתפס לפני שהספיקו להעביר אליו את הנשק.",0,1,0.99801934
