,feature_key,text,extraction,verdict
0,TYPE_WEP,כתוצאה ממעשיו של הנאשם התפוצץ המטען וגרם נזק לתחתית וכסא נהג הרכב ונזקים לסביבה במרחק של כ-10 מטר ממקום חנית הרכב.,['TYPE_WEP'],ME-14-03-48488-922
1,TYPE_WEP,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",['TYPE_WEP'],ME-14-03-48488-922
2,OBTAIN_WAY_WEP,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",['OBTAIN_WAY'],ME-14-03-48488-922
3,TYPE_WEP,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",['TYPE_WEP'],ME-14-03-48488-922
4,USE,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",['USE'],ME-14-03-48488-922
5,STATUS_WEP,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",[],ME-13-04-35007-454
6,TYPE_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['TYPE_WEP'],ME-13-10-53169-537
7,HELD_WAY_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['HELD_WAY'],ME-13-10-53169-537
8,AMMU_AMOUNT_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['AMMO_AMOUNT'],ME-13-10-53169-537
9,STATUS_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",[],ME-13-10-53169-537
10,TYPE_WEP,"כמו כן, הודה הנאשם, כי החזיק מתחת לכיסא הנהג שברכבו שקית ובה 17 כדורי אקדח ומחסנית לאקדח.",['TYPE_WEP'],ME-13-10-53169-537
